Id;fecha_version;POS;designation;engine;model_type;type;pn;nsn;GESA_NORM;GESA_NORMALIZADO;fg_code;fg_description;fg_code_description;weight;weight_txt;measurement;TIPOARTICULO;PAG;BOM_no;esquema_general;exp_motor;exp_categorias;atributo;SUST_TIPO;new_pn_relacionado;old_pn_relacionados;old_number_01;old_ruta_01;old_number_02;old_ruta_02;old_number_03;old_ruta_03;old_number_04;old_ruta_04;old_number_05;old_ruta_05;old_number_06;old_ruta_06;old_number_07;old_ruta_07;old_number_08;old_ruta_08;old_number_09;old_ruta_09;old_number_10;old_ruta_10;old_number_11;old_ruta_11;old_number_12;old_ruta_12;old_number_13;old_ruta_13;old_number_14;old_ruta_14;old_number_15;old_ruta_15;old_number_16;old_ruta_16;old_number_17;old_ruta_17;old_number_18;old_ruta_18;EN_EXCEL_SUSTITUCION;ruta_foto;exp_imagenes
RB-12V4000M40A-001989;20260606.0305;240;UNION;12V4000M40A;12VM40A;;135M27020/1;;;NO;233-05;BASE SKID WITH MOUNTS;233 BASE SKID WITH MOUNTS;0.051 KGM;0.051 KGM;;piezas;12V4000M40A-0301;XS526230.00022;12V4000M40A-0301-01.webp;12V4000M40A;12VM40A-233;;New;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0301-01-240.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0301-01.webp
RB-12V4000M40A-001705;20260606.0305;185;BRACKET L H:100;12V4000M40A, 12V4000M70, 16V4000M61, 16V4000M90, 20V4000M93L;12VM40A, 12VM70, 16VM61, 16VM90, 20VM93L;;136M52010/1;5340121467169;;NO;202-65;COOLANT CIRCUIT, GENERAL, HT CIRCUIT;202 COOLANT CIRCUIT, GENERAL, HT CIRCUIT;0.048 KGM;0.048 KGM;;piezas;12V4000M40A-0257, 12V4000M70-0252, 12V4000M70-0589, 16V4000M61-0231, 16V4000M61-0733, 16V4000M90-0221, 20V4000M93L-1460, 20V4000M93L-1844;200.00600;12V4000M40A-0256-01.webp, 12V4000M40A-0256-02.webp, 12V4000M40A-0257-01.webp, 12V4000M70-0247-01.webp, 12V4000M70-0247-02.webp, 12V4000M70-0248-01.webp, 12V4000M70-0248-02.webp, 12V4000M70-0249-01.webp, 12V4000M70-0249-02.webp, 12V4000M70-0250-01.webp, 12V4000M70-0250-02.webp, 12V4000M70-0251-01.webp, 12V4000M70-0584-01.webp, 12V4000M70-0584-02.webp, 12V4000M70-0585-01.webp, 12V4000M70-0585-02.webp, 12V4000M70-0586-01.webp, 12V4000M70-0586-02.webp, 12V4000M70-0587-01.webp, 12V4000M70-0587-02.webp, 12V4000M70-0588-01.webp, 16V4000M61-0227-01.webp, 16V4000M61-0227-02.webp, 16V4000M61-0228-01.webp, 16V4000M61-0228-02.webp, 16V4000M61-0229-01.webp, 16V4000M61-0229-02.webp, 16V4000M61-0230-01.webp, 16V4000M61-0230-02.webp, 16V4000M61-0231-01.webp, 16V4000M61-0729-01.webp, 16V4000M61-0729-02.webp, 16V4000M61-0730-01.webp, 16V4000M61-0730-02.webp, 16V4000M61-0731-01.webp, 16V4000M61-0731-02.webp, 16V4000M61-0732-01.webp, 16V4000M61-0732-02.webp, 16V4000M61-0733-01.webp, 16V4000M90-0216-01.webp, 16V4000M90-0216-02.webp, 16V4000M90-0217-01.webp, 16V4000M90-0217-02.webp, 16V4000M90-0218-01.webp, 16V4000M90-0218-02.webp, 16V4000M90-0219-01.webp, 16V4000M90-0219-02.webp, 16V4000M90-0220-01.webp, 20V4000M93L-1456-01.webp, 20V4000M93L-1456-02.webp, 20V4000M93L-1457-01.webp, 20V4000M93L-1840-01.webp, 20V4000M93L-1840-02.webp, 20V4000M93L-1841-01.webp;12V4000M40A, 12V4000M70, 16V4000M61, 16V4000M90, 20V4000M93L;12VM40A-202, 12VM70-200, 16VM61-200, 16VM90-202, 20VM93L-507;;New;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0256-01-185.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0256-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0256-02.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0257-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0247-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0247-02-780.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0247-02.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0248-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0248-02.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0249-01.webp
RB-12V4000M53-000732;20260606.0305;360;STRAP 75 X20;12V4000M53;12VM53;;136M55056/1;5340124002863;;NO;080-00;"L.P. FUEL SYSTEM; (ALSO GAS ENGINES)";"80 L.P. FUEL SYSTEM; (ALSO GAS ENGINES)";0.06 KGM;0.06 KGM;;piezas;12V4000M53-0111;XS594080.00041;12V4000M53-0110-01.webp, 12V4000M53-0110-02.webp;12V4000M53;12VM53-80;;New;136M55056/1;135M55009/1;135M55009/1;https://milu-naval.com/producto/135M55009-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M53-POS/12V4000M53-0110-01-360.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M53-POS/12V4000M53-0110-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M53-POS/12V4000M53-0110-02.webp
RB-12V4000M40A-001744;20260606.0305;695;BRACKET;12V4000M40A, 12V4000M70, 16V4000M61, 16V4000M90;12VM40A, 12VM70, 16VM61, 16VM90;;137M13001/1;;;NO;202-65;COOLANT CIRCUIT, GENERAL, HT CIRCUIT;202 COOLANT CIRCUIT, GENERAL, HT CIRCUIT;0.13 KGM;0.13 KGM;;piezas;12V4000M40A-0258, 12V4000M70-0254, 12V4000M70-0591, 16V4000M61-0233, 16V4000M61-0735, 16V4000M90-0223;200.00600;12V4000M40A-0256-01.webp, 12V4000M40A-0256-02.webp, 12V4000M40A-0257-01.webp, 12V4000M70-0247-01.webp, 12V4000M70-0247-02.webp, 12V4000M70-0248-01.webp, 12V4000M70-0248-02.webp, 12V4000M70-0249-01.webp, 12V4000M70-0249-02.webp, 12V4000M70-0250-01.webp, 12V4000M70-0250-02.webp, 12V4000M70-0251-01.webp, 12V4000M70-0584-01.webp, 12V4000M70-0584-02.webp, 12V4000M70-0585-01.webp, 12V4000M70-0585-02.webp, 12V4000M70-0586-01.webp, 12V4000M70-0586-02.webp, 12V4000M70-0587-01.webp, 12V4000M70-0587-02.webp, 12V4000M70-0588-01.webp, 16V4000M61-0227-01.webp, 16V4000M61-0227-02.webp, 16V4000M61-0228-01.webp, 16V4000M61-0228-02.webp, 16V4000M61-0229-01.webp, 16V4000M61-0229-02.webp, 16V4000M61-0230-01.webp, 16V4000M61-0230-02.webp, 16V4000M61-0231-01.webp, 16V4000M61-0729-01.webp, 16V4000M61-0729-02.webp, 16V4000M61-0730-01.webp, 16V4000M61-0730-02.webp, 16V4000M61-0731-01.webp, 16V4000M61-0731-02.webp, 16V4000M61-0732-01.webp, 16V4000M61-0732-02.webp, 16V4000M61-0733-01.webp, 16V4000M90-0216-01.webp, 16V4000M90-0216-02.webp, 16V4000M90-0217-01.webp, 16V4000M90-0217-02.webp, 16V4000M90-0218-01.webp, 16V4000M90-0218-02.webp, 16V4000M90-0219-01.webp, 16V4000M90-0219-02.webp, 16V4000M90-0220-01.webp;12V4000M40A, 12V4000M70, 16V4000M61, 16V4000M90;12VM40A-202, 12VM70-200, 16VM61-200, 16VM90-202;;New;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0256-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0256-02.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0257-01-695.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0257-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0247-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0247-02.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0248-01-4200.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0248-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0248-02.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0249-01.webp
RB-12V4000M40A-001463;20260606.0305;1425;HEX SCREW;12V4000M40A, 12V4000M70, 16V4000M61;12VM40A, 12VM70, 16VM61;;000000000359;5305123871447;ISO4017;SI;200-00;COOLANT SYSTEM;200 COOLANT SYSTEM;0.4 KGM;0.4 KGM;M 16 X280;piezas;12V4000M40A-0231, 12V4000M70-0240, 12V4000M70-0577, 16V4000M61-0220, 16V4000M61-0722;X00030235;12V4000M40A-0229-01.webp, 12V4000M40A-0229-02.webp, 12V4000M40A-0230-01.webp, 12V4000M70-0238-01.webp, 12V4000M70-0238-02.webp, 12V4000M70-0239-01.webp, 12V4000M70-0575-01.webp, 12V4000M70-0575-02.webp, 12V4000M70-0576-01.webp, 16V4000M61-0218-01.webp, 16V4000M61-0218-02.webp, 16V4000M61-0219-01.webp, 16V4000M61-0720-01.webp, 16V4000M61-0720-02.webp, 16V4000M61-0721-01.webp;12V4000M40A, 12V4000M70, 16V4000M61;12VM40A-200, 12VM70-200, 16VM61-200;;New;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0229-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0229-02-1425.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0229-02.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0230-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0238-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0238-02-1425.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0238-02.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0239-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0575-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0575-02-1425.webp
RB-12V4000M40A-001268;20260606.0305;70;HEX SCREW;12V4000M40A, 12V4000M70, 20V4000M93L;12VM40A, 12VM70, 20VM93L;;000000000360;5305123991673;ISO4017;SI;183-17;OIL FILTRATION/COOLING;183 OIL FILTRATION/COOLING;0.27 KGM;0.27 KGM;M 16 X180;piezas;12V4000M40A-0208, 12V4000M70-0222, 12V4000M70-0559, 20V4000M93L-1400, 20V4000M93L-1780;180.00466;12V4000M40A-0208-01.webp, 12V4000M70-0222-01.webp, 12V4000M70-0559-01.webp, 20V4000M93L-1400-01.webp, 20V4000M93L-1780-01.webp;12V4000M40A, 12V4000M70, 20V4000M93L;12VM40A-183, 12VM70-183, 20VM93L-204;;New;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0208-01-70.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0208-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0222-01-70.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0222-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0559-01-70.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0559-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/20V4000M93L-POS/20V4000M93L-1400-01-1150.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/20V4000M93L-POS/20V4000M93L-1400-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/20V4000M93L-POS/20V4000M93L-1780-01-1150.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/20V4000M93L-POS/20V4000M93L-1780-01.webp
RB-12V4000M40A-002051;20260606.0305;55;TERMINAL BOX (LXBXH);12V4000M40A;12VM40A;;400X230X111;;;NO;;;;5,520 KG;5,520 KG;;piezas;12V4000M40A-0319;X00E52800003;12V4000M40A-0319-01.webp;12V4000M40A;;;New;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0319-01-55.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0319-01.webp
RB-12V4000M53-000506;20260606.0305;50;NUT ADEC;12V4000M53, 12V4000M70, 20V4000M93;12VM53, 12VM70, 20VM93;;000000000403;5310123761085;ISO8675;SI;;;;0.018 KGM;0.018 KGM;M 16 X 1,5;piezas;12V4000M53-0089, 12V4000M53-0090, 12V4000M53-0444, 12V4000M53-0445, 12V4000M70-0092, 12V4000M70-0093, 12V4000M70-0431, 12V4000M70-0432, 20V4000M93-0093, 20V4000M93-0094, 20V4000M93-0489, 20V4000M93-0490, 20V4000M93-0885, 20V4000M93-0886, 20V4000M93-1281, 20V4000M93-1282;X52405500124;12V4000M53-0089-01.webp, 12V4000M53-0090-01.webp, 12V4000M53-0444-01.webp, 12V4000M53-0445-01.webp, 12V4000M70-0092-01.webp, 12V4000M70-0093-01.webp, 12V4000M70-0431-01.webp, 12V4000M70-0432-01.webp, 20V4000M93-0093-01.webp, 20V4000M93-0094-01.webp, 20V4000M93-0489-01.webp, 20V4000M93-0490-01.webp, 20V4000M93-0885-01.webp, 20V4000M93-0886-01.webp, 20V4000M93-1281-01.webp, 20V4000M93-1282-01.webp;12V4000M53, 12V4000M70, 20V4000M93;;;New;000000000403;200439016200;200439016200;https://milu-naval.com/producto/200439016200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M53-POS/12V4000M53-0089-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M53-POS/12V4000M53-0089-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M53-POS/12V4000M53-0090-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M53-POS/12V4000M53-0090-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M53-POS/12V4000M53-0444-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M53-POS/12V4000M53-0444-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M53-POS/12V4000M53-0445-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M53-POS/12V4000M53-0445-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0092-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0092-01.webp
RB-16V4000M61-001658;20260606.0305;105;CLAMP CHARGED AIR COOLANT TUBE;16V4000M61, 16V4000M90;16VM61, 16VM90;;524SK0789;4710123870955;;NO;203-25;LOW-TEMPERATURE CIRCUIT;203 LOW-TEMPERATURE CIRCUIT;0.506 KGM;0.506 KGM;;piezas;16V4000M61-0247, 16V4000M61-0748, 16V4000M90-0228;200.00606;16V4000M61-0246-01.webp, 16V4000M61-0246-02.webp, 16V4000M61-0747-01.webp, 16V4000M61-0747-02.webp, 16V4000M90-0227-01.webp, 16V4000M90-0227-02.webp;16V4000M61, 16V4000M90;16VM61-203, 16VM90-203;;New;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M61-POS/16V4000M61-0246-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M61-POS/16V4000M61-0246-02-105.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M61-POS/16V4000M61-0246-02.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M61-POS/16V4000M61-0747-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M61-POS/16V4000M61-0747-02-105.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M61-POS/16V4000M61-0747-02.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M90-POS/16V4000M90-0227-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M90-POS/16V4000M90-0227-02-105.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M90-POS/16V4000M90-0227-02.webp
RB-20V4000M93-002914;20260606.0305;1000;SIGHT GLASS;20V4000M93, 20V4000M93L;20VM93, 20VM93L;;535D01022/1;6680121289652;;NO;;;;0.257 KGM;0.257 KGM;;piezas;20V4000M93-0318, 20V4000M93-0714, 20V4000M93-1110, 20V4000M93-1506, 20V4000M93L-1427, 20V4000M93L-1807;X59620800002;20V4000M93-0318-01.webp, 20V4000M93-0714-01.webp, 20V4000M93-1110-01.webp, 20V4000M93-1506-01.webp, 20V4000M93L-1427-01.webp, 20V4000M93L-1807-01.webp;20V4000M93, 20V4000M93L;;;New;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/20V4000M93-POS/20V4000M93-0318-01-1000.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/20V4000M93-POS/20V4000M93-0318-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/20V4000M93-POS/20V4000M93-0714-01-1000.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/20V4000M93-POS/20V4000M93-0714-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/20V4000M93-POS/20V4000M93-1110-01-1000.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/20V4000M93-POS/20V4000M93-1110-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/20V4000M93-POS/20V4000M93-1506-01-1000.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/20V4000M93-POS/20V4000M93-1506-01.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/20V4000M93L-POS/20V4000M93L-1427-01-1000.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/20V4000M93L-POS/20V4000M93L-1427-01.webp
