sku;designation_final;measurement_final;weight_final;decision;reason;qa_validated;occurrences;engines;source_ids;source_pages;qa_summary_json;import_decision;import_reason
135M55009/1;STRAP 75 X20;;0.06 KGM;import;qa_ok_importar_found;true;16;12V4000M53, 16V4000M73, 16V4000M73L, 20V4000M93, 20V4000M93L;RB-12V4000M53-000732, RB-12V4000M53-003863, RB-16V4000M73-000794, RB-16V4000M73-003988, RB-16V4000M73-007182, RB-16V4000M73-010388, RB-16V4000M73L-000658, RB-16V4000M73L-003988, RB-16V4000M73L-006476, RB-16V4000M73L-008985, RB-20V4000M93-000821, RB-20V4000M93-004534, RB-20V4000M93-008247, RB-20V4000M93-011960, RB-20V4000M93L-000765, RB-20V4000M93L-004336;111, 466, 131, 485, 839, 1194, 117, 602, 947, 1290, 130, 526, 922, 1318, 1230, 1607;"{""total_rows"":16,""count_ok_importar"":16,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
635H22706/2;SWITCH E-STOP 45MM W/ SELF MONITORING CO;;148,900 G;import;qa_ok_importar_found;true;32;12V4000M40A, 12V4000M53, 12V4000M70, 16V4000M61, 16V4000M73, 16V4000M73L, 16V4000M90, 20V4000M93, 20V4000M93L;RB-12V4000M40A-002281, RB-12V4000M53-002862, RB-12V4000M53-002865, RB-12V4000M53-006013, RB-12V4000M53-006016, RB-12V4000M70-002483, RB-12V4000M70-002484, RB-12V4000M70-004987, RB-12V4000M70-004988, RB-16V4000M61-002097, RB-16V4000M61-002098, RB-16V4000M61-005033, RB-16V4000M61-005034, RB-16V4000M73-002655, RB-16V4000M73-005849, RB-16V4000M73-009055, RB-16V4000M73-012255, RB-16V4000M73L-002362, RB-16V4000M73L-005517, RB-16V4000M73L-008033, RB-16V4000M73L-010538, RB-16V4000M90-002139, RB-20V4000M93-003050, RB-20V4000M93-003053, RB-20V4000M93-006763, RB-20V4000M93-006766, RB-20V4000M93-010476, RB-20V4000M93-010479, RB-20V4000M93-014189, RB-20V4000M93-014192, RB-20V4000M93L-003314, RB-20V4000M93L-006968;346, 338, 701, 334, 671, 807, 320, 674, 1029, 1383, 337, 799, 1142, 1477, 303, 342, 343, 738, 739, 1134, 1135, 1530, 1531, 1466, 1850;"{""total_rows"":32,""count_ok_importar"":32,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000002970;HEX SCREW;M 12 X 70;0.065 KGM;import;qa_ok_importar_found;true;36;12V4000M53, 16V4000M73, 16V4000M73L, 20V4000M93, 20V4000M93L;RB-12V4000M53-001756, RB-12V4000M53-002173, RB-12V4000M53-004887, RB-12V4000M53-005304, RB-16V4000M73-002313, RB-16V4000M73-002449, RB-16V4000M73-005507, RB-16V4000M73-005643, RB-16V4000M73-008713, RB-16V4000M73-008849, RB-16V4000M73-011913, RB-16V4000M73-012049, RB-16V4000M73L-001650, RB-16V4000M73L-001882, RB-16V4000M73L-004981, RB-16V4000M73L-005213, RB-16V4000M73L-007469, RB-16V4000M73L-007701, RB-16V4000M73L-009975, RB-16V4000M73L-010205, RB-20V4000M93-002711, RB-20V4000M93-002753, RB-20V4000M93-002843, RB-20V4000M93-006424, RB-20V4000M93-006466, RB-20V4000M93-006556, RB-20V4000M93-010137, RB-20V4000M93-010179, RB-20V4000M93-010269, RB-20V4000M93-013850, RB-20V4000M93-013892, RB-20V4000M93-013982, RB-20V4000M93L-002746, RB-20V4000M93L-002893, RB-20V4000M93L-006376, RB-20V4000M93L-006523;228, 261, 583, 616, 277, 293, 631, 647, 986, 1002, 1340, 1356, 238, 255, 724, 741, 1069, 1086, 1405, 1422, 292, 300, 309, 688, 696, 705, 1084, 1092, 1101, 1480, 1488, 1497, 1400, 1418, 1780, 1798;"{""total_rows"":36,""count_ok_importar"":36,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000003326;HEX SCREW;M 10 X 35;0.027 KGM;import;qa_ok_importar_found;true;132;12V4000M40A, 12V4000M53, 12V4000M70, 16V4000M61, 16V4000M73, 16V4000M73L, 16V4000M90, 20V4000M93, 20V4000M93L;RB-12V4000M40A-000553, RB-12V4000M53-000020, RB-12V4000M53-000733, RB-12V4000M53-001160, RB-12V4000M53-001166, RB-12V4000M53-001293, RB-12V4000M53-001413, RB-12V4000M53-002088, RB-12V4000M53-002224, RB-12V4000M53-003159, RB-12V4000M53-003864, RB-12V4000M53-004291, RB-12V4000M53-004297, RB-12V4000M53-004424, RB-12V4000M53-004544, RB-12V4000M53-005219, RB-12V4000M53-005355, RB-12V4000M70-000540, RB-12V4000M70-000570, RB-12V4000M70-002303, RB-12V4000M70-002359, RB-12V4000M70-003099, RB-12V4000M70-003129, RB-12V4000M70-004807, RB-12V4000M70-004863, RB-16V4000M61-000014, RB-16V4000M61-000499, RB-16V4000M61-002271, RB-16V4000M61-003124, RB-16V4000M61-003610, RB-16V4000M61-005207, RB-16V4000M73-001131, RB-16V4000M73-001207, RB-16V4000M73-001334, RB-16V4000M73-001571, RB-16V4000M73-002105, RB-16V4000M73-002399, RB-16V4000M73-002428, RB-16V4000M73-002454, RB-16V4000M73-004325, RB-16V4000M73-004401, RB-16V4000M73-004528, RB-16V4000M73-004765, RB-16V4000M73-005299, RB-16V4000M73-005593, RB-16V4000M73-005622, RB-16V4000M73-005648, RB-16V4000M73-007519, RB-16V4000M73-007595, RB-16V4000M73-007722, RB-16V4000M73-007971, RB-16V4000M73-008505, RB-16V4000M73-008799, RB-16V4000M73-008828, RB-16V4000M73-008854, RB-16V4000M73-010725, RB-16V4000M73-010801, RB-16V4000M73-010928, RB-16V4000M73-011177, RB-16V4000M73-011705, RB-16V4000M73-011999, RB-16V4000M73-012028, RB-16V4000M73-012054, RB-16V4000M73L-000968, RB-16V4000M73L-001033, RB-16V4000M73L-001381, RB-16V4000M73L-001705, RB-16V4000M73L-001885, RB-16V4000M73L-001978, RB-16V4000M73L-004299, RB-16V4000M73L-004364, RB-16V4000M73L-004712, RB-16V4000M73L-005036, RB-16V4000M73L-005216, RB-16V4000M73L-005309, RB-16V4000M73L-006787, RB-16V4000M73L-006852, RB-16V4000M73L-007200, RB-16V4000M73L-007524, RB-16V4000M73L-007704, RB-16V4000M73L-007797, RB-16V4000M73L-009293, RB-16V4000M73L-009358, RB-16V4000M73L-009706, RB-16V4000M73L-010030, RB-16V4000M73L-010208, RB-16V4000M73L-010303, RB-16V4000M90-000014, RB-16V4000M90-000608, RB-16V4000M90-000638, RB-20V4000M93-001576, RB-20V4000M93-001785, RB-20V4000M93-002314, RB-20V4000M93-002793, RB-20V4000M93-002809, RB-20V4000M93-002822, RB-20V4000M93-002848, RB-20V4000M93-005289, RB-20V4000M93-005498, RB-20V4000M93-006027, RB-20V4000M93-006506, RB-20V4000M93-006522, RB-20V4000M93-006535, RB-20V4000M93-006561, RB-20V4000M93-009002, RB-20V4000M93-009211, RB-20V4000M93-009740, RB-20V4000M93-010219, RB-20V4000M93-010235, RB-20V4000M93-010248, RB-20V4000M93-010274, RB-20V4000M93-012715, RB-20V4000M93-012924, RB-20V4000M93-013453, RB-20V4000M93-013932, RB-20V4000M93-013948, RB-20V4000M93-013961, RB-20V4000M93-013987, RB-20V4000M93L-001437, RB-20V4000M93L-001926, RB-20V4000M93L-002354, RB-20V4000M93L-002839, RB-20V4000M93L-002855, RB-20V4000M93L-002868, RB-20V4000M93L-002898, RB-20V4000M93L-005008, RB-20V4000M93L-005556, RB-20V4000M93L-005984, RB-20V4000M93L-006469, RB-20V4000M93L-006485, RB-20V4000M93L-006498, RB-20V4000M93L-006528;104, 22, 111, 160, 163, 174, 194, 249, 265, 377, 466, 515, 518, 529, 549, 604, 620, 113, 114, 318, 319, 452, 453, 655, 656, 12, 95, 349, 519, 602, 818, 168, 180, 189, 216, 267, 287, 288, 293, 522, 534, 543, 570, 621, 641, 642, 647, 876, 888, 897, 925, 976, 996, 997, 1002, 1231, 1243, 1252, 1280, 1330, 1350, 1351, 1356, 153, 169, 207, 243, 255, 263, 639, 693, 729, 741, 749, 984, 1000, 1038, 1074, 1086, 1094, 1325, 1340, 1376, 1410, 1422, 1430, 17, 119, 120, 206, 233, 276, 302, 303, 309, 629, 672, 698, 699, 705, 998, 1025, 1068, 1095, 1101, 1394, 1421, 1464, 1490, 1491, 1497, 1294, 1343, 1384, 1411, 1412, 1418, 1671, 1723, 1764, 1791, 1792, 1798;"{""total_rows"":132,""count_ok_importar"":132,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000004744;HEX NUT;M 12;0.014 KGM;import;qa_ok_importar_found;true;54;12V4000M53, 16V4000M73, 16V4000M73L, 20V4000M93, 20V4000M93L;RB-12V4000M53-000993, RB-12V4000M53-001345, RB-12V4000M53-001792, RB-12V4000M53-002051, RB-12V4000M53-004124, RB-12V4000M53-004476, RB-12V4000M53-004923, RB-12V4000M53-005182, RB-16V4000M73-000312, RB-16V4000M73-001005, RB-16V4000M73-001177, RB-16V4000M73-001882, RB-16V4000M73-003506, RB-16V4000M73-004199, RB-16V4000M73-004371, RB-16V4000M73-005076, RB-16V4000M73-006700, RB-16V4000M73-007393, RB-16V4000M73-007565, RB-16V4000M73-008282, RB-16V4000M73-009906, RB-16V4000M73-010599, RB-16V4000M73-010771, RB-16V4000M73-011482, RB-16V4000M73L-000244, RB-16V4000M73L-000851, RB-16V4000M73L-001005, RB-16V4000M73L-001931, RB-16V4000M73L-003574, RB-16V4000M73L-004181, RB-16V4000M73L-004336, RB-16V4000M73L-005262, RB-16V4000M73L-006062, RB-16V4000M73L-006669, RB-16V4000M73L-006824, RB-16V4000M73L-007750, RB-16V4000M73L-008571, RB-16V4000M73L-009176, RB-16V4000M73L-009330, RB-16V4000M73L-010256, RB-20V4000M93-001156, RB-20V4000M93-002222, RB-20V4000M93-004869, RB-20V4000M93-005935, RB-20V4000M93-008582, RB-20V4000M93-009648, RB-20V4000M93-012295, RB-20V4000M93-013361, RB-20V4000M93L-000298, RB-20V4000M93L-001093, RB-20V4000M93L-002218, RB-20V4000M93L-003832, RB-20V4000M93L-004664, RB-20V4000M93L-005848;138, 184, 234, 247, 493, 539, 589, 602, 55, 151, 175, 248, 409, 505, 529, 763, 859, 883, 957, 1118, 1214, 1238, 1311, 43, 136, 161, 260, 528, 621, 647, 746, 873, 966, 992, 1091, 1216, 1308, 1333, 1427, 156, 268, 552, 664, 948, 1060, 1344, 1456, 1152, 1254, 1371, 1525, 1631, 1751;"{""total_rows"":54,""count_ok_importar"":54,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
41458;LEAD SEAL;0,5 - 0,3;1 KG;import;qa_ok_importar_found;true;5;12V4000M40A, 12V4000M70, 16V4000M61;RB-12V4000M40A-002729, RB-12V4000M70-002547, RB-12V4000M70-005051, RB-16V4000M61-002393, RB-16V4000M61-005329;404, 343, 680, 363, 832;"{""total_rows"":5,""count_ok_importar"":5,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
50667;GREASE;1 TIN = 1 KG;1.116 KGM;import;qa_ok_importar_found;true;3;12V4000M40A, 16V4000M90;RB-12V4000M40A-000897, RB-12V4000M40A-000921, RB-16V4000M90-001123;154, 157, 168;"{""total_rows"":3,""count_ok_importar"":3,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
0000100070;MANIFOLD;;1.347 KGM;import;qa_ok_importar_found;true;6;12V4000M40A, 12V4000M70, 16V4000M61, 16V4000M90;RB-12V4000M40A-000142, RB-12V4000M70-000155, RB-12V4000M70-002714, RB-16V4000M61-000139, RB-16V4000M61-003249, RB-16V4000M90-000150;29, 41, 380, 28, 535, 34;"{""total_rows"":6,""count_ok_importar"":6,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
0000352500;DAMPER;;87,000 kg;import;qa_ok_importar_found;true;6;12V4000M40A, 12V4000M70, 16V4000M61, 16V4000M90;RB-12V4000M40A-000286, RB-12V4000M70-000288, RB-12V4000M70-002847, RB-16V4000M61-000262, RB-16V4000M61-003372, RB-16V4000M90-000296;51, 62, 401, 46, 553, 56;"{""total_rows"":6,""count_ok_importar"":6,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
0000787949;VALVE FLOW RESTRICTOR;;408,600 G;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-000455;92;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
