pn;source_id;source_engine_file;row_count;ai_decision;ai_confidence;ai_confidence_level;ai_reason;ai_suggested_action;qa_revision_estado;qa_revision_accion;designation_final;measure_final;weight_final
;1100001;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CRANKCASE;;1.707 TO
;1100002;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CRANKSHAFT HIGH POWER;;
;1100003;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;VALVE GUIDE INSERT;;
;1100004;engine_12V4000M40A.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CAMSHAFT;KE EM;
;1100005;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PLUG;;
;1100006;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SHAFT;;
;1100007;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SHAFT;;
;1100008;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;HOUSING;;
;1100009;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;HOUSING;;
;1100010;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;VALVE HOUSING;;
;1100011;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;VALVE HOUSING;;
;1100012;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SILENCER;;
;1100013;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;VALVE HOUSING;;
;1100014;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;UNION;;
;1100015;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;UNION;;
;1100016;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CLOSURE;;
;1100017;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CYLINDER;;
;1100018;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CONNECTING PIECE;;
;1100019;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;VALVE;;
;1100020;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;STOP;;
;1100021;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SCREW;;
;1100022;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;VALVE PISTON;;
;1100023;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PLUG 1;;
;1100024;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PRESSURE SPRING;;
;1100025;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;GEARCASE;;
;1100026;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;COVER;;
;1100027;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;HOUSING WATER DISTRIBUTION;;KE
;1100028;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;TERMINAL BOX;;5,520 KG
;1100029;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PIPE;;11,900 G
;1100030;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;TERMINAL BOX FOR CONTROL PANEL;;12,500 KGKE
;1100031;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PLATE;;1,590 KG
;1100032;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;IDENTIFICATION PLATE FOR CONTROL PANEL;;
;1100033;engine_12V4000M40A.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SOFTWARE;"KE MCS5_PIM_URLADER;VAR_1/ED_1_02";
;1100034;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PLATE;;
;1100035;engine_12V4000M40A.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;IDENTIFICATION PLATE FOR CONTROL UNIT;13X25;
;1100036;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SWITCHGEAR CABINET;;10 KG KE
;1100037;engine_12V4000M40A.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PLATE;291,6X147,6X1,5MM;531,100 GKE
;1100038;engine_12V4000M40A.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;COVER;295X151X51.7;205 G
;1100039;engine_12V4000M40A.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SOFTWARE;KE SW_SAM_FIRMW\VAR_1\ED_3_06;
;1100040;engine_12V4000M40A.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SOFTWARE;KE SW_SAB2-01_URLADER_1_00;
;1100041;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PLATE FOR ECU;;0,005 KG
;1100042;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CAPACITOR;;
;1100043;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SCREW;;2,780 G
;1100044;engine_12V4000M40A.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;RIVET;N10001;0,840 G
;1100045;engine_12V4000M40A.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PLATE;KE 41X28;
;1100046;engine_12V4000M40A.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;HOUSING F/EXH TEMP MEASUREM;;
;1100047;engine_12V4000M40A.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PLATE MEM 6-01/A;KE 41X28;0,100 G
;1100048;engine_12V4000M40A.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;SOFTWARE;"KE EA_DOWNLOAD_EMU; VAR_2/ED_1_01";
;1200336;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CRANKSHAFT LR ACCEPTANCE 12V-06CWT-STROKE210;;
;1200542;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;O-RING;;
;1200544;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;INJECTOR;;3,500 kg
;1201349;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PUMP UNIT RICKMEIER,3 PHAS.230/400V,50HZ;;
;1201743;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;ADAPTER FLANGE;;
;1201744;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;NON-RETURN VALVE rtal Online Print 04-10-2;;
;1202704;engine_12V4000M53.json;1;discard;0.57;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;CONNECTING CAB;ELEKTR.ANLASSUNG;
;1202948;engine_12V4000M53.json;1;discard;0.42;low;faltan campos criticos o se marco para eliminar;eliminar;pendiente;revisar;PIPE;;23,000 g
