sku;import_decision;import_reason;designation_final;measure_final;weight_final;source_engine_file;source_id;total_occurrences_global;engine_models_all;source_pages_all;source_ids_all;compacted_type
000912008115;import_new;cumple condiciones para articulo nuevo;BOLT HEX SOC HD;M 8 X 16;0.011 KGM;engine_12V4000M40A.json;1100646;22;12V4000M40A, 12V4000M53, 12V4000M70, 16V4000M61, 16V4000M73, 16V4000M73L, 16V4000M90, 20V4000M93, 20V4000M93L;12, 13, 15, 17, 22, 23, 24, 26, 363, 377, 380, 419, 500, 519, 734, 815, 845, 1089, 1125, 1188, 1211, 1498;1100646, 1200006, 1203157, 1300019, 1302941, 1400030, 1403202, 1406371, 1409549, 1500023, 1503223, 1505686, 1508179, 1600019, 1700023, 1703768, 1707508, 1711248, 1800026, 1803598, 1900016, 1902456;new
000931010237;import_new;cumple condiciones para articulo nuevo;HEX SCREW;M 10 X 90;0.061 KGM;engine_12V4000M40A.json;1100672;6;12V4000M40A, 12V4000M70, 16V4000M61, 16V4000M90;12, 13, 17, 24, 363, 519;1100672, 1300010, 1302932, 1600010, 1900007, 1902447;new
000933010089;import_new;cumple condiciones para articulo nuevo;HEX SCREW;M 10 X 20;0.021 KGM;engine_12V4000M40A.json;1100725;9;12V4000M40A, 12V4000M70, 16V4000M61, 16V4000M90;12, 13, 17, 24, 228, 247, 363, 519, 748;1100725, 1300005, 1301599, 1302927, 1304511, 1600005, 1601709, 1900002, 1902442;new
000933010093;import_new;cumple condiciones para articulo nuevo;HEX SCREW;M 10 X 35;0.027 KGM;engine_12V4000M40A.json;1100728;58;12V4000M40A, 12V4000M70, 16V4000M61, 16V4000M73, 16V4000M73L, 16V4000M90, 20V4000M93, 20V4000M93L;13, 24, 28, 29, 34, 36, 37, 41, 43, 49, 168, 172, 187, 192, 197, 200, 213, 214, 239, 247, 249, 250, 260, 261, 269, 279, 363, 380, 388, 531, 535, 543, 551, 597, 603, 616, 665, 671, 694, 699, 740, 747, 760, 958, 1061, 1092, 1312, 1372, 1428, 1457, 1752;1100728, 1100729, 1100730, 1100731, 1100732, 1100733, 1300132, 1300196, 1300979, 1301162, 1301205, 1301550, 1301672, 1303054, 1303118, 1303890, 1304075, 1304118, 1304463, 1304584, 1401921, 1405090, 1408268, 1411449, 1501930, 1505137, 1507600, 1510089, 1600144, 1600215, 1601182, 1601285, 1601332, 1601499, 1601838, 1601860, 1702251, 1705991, 1709731, 1713475, 1802253, 1805912, 1900006, 1900137, 1900205, 1901281, 1901453, 1901926, 1902026, 1902048, 1902446, 1902577, 1902645, 1903723, 1903840, 1904313, 1904413, 1904435;new
700429018005;import_new;cumple condiciones para articulo nuevo;O-RING;A 18 X 4;0.002 KGM;engine_12V4000M40A.json;1102046;39;12V4000M40A, 12V4000M53, 12V4000M70, 16V4000M61, 16V4000M73, 16V4000M73L, 16V4000M90, 20V4000M93, 20V4000M93L;12, 13, 17, 22, 23, 24, 26, 142, 146, 149, 151, 154, 162, 170, 363, 377, 380, 419, 493, 506, 516, 519, 566, 635, 646, 734, 815, 870, 962, 980, 1089, 1125, 1211, 1225, 1267, 1321, 1358, 1498, 1644;1102046, 1200015, 1201084, 1203166, 1204223, 1300012, 1300819, 1302934, 1303730, 1400039, 1401080, 1403211, 1404249, 1406380, 1407418, 1409558, 1410596, 1500886, 1504093, 1506556, 1509040, 1600012, 1600968, 1700033, 1701212, 1703777, 1704952, 1707517, 1708692, 1711257, 1712441, 1800035, 1801175, 1803608, 1804781, 1900009, 1900963, 1902449, 1903405;new
700429042000;import_new;cumple condiciones para articulo nuevo;O-RING;A 42 X 5;0.005 KGM;engine_12V4000M40A.json;1102073;71;12V4000M40A, 12V4000M53, 12V4000M70, 16V4000M61, 16V4000M73, 16V4000M73L, 16V4000M90, 20V4000M93, 20V4000M93L;12, 13, 17, 22, 23, 24, 26, 28, 29, 34, 41, 108, 117, 119, 190, 195, 198, 212, 242, 251, 261, 267, 269, 285, 300, 363, 377, 380, 419, 472, 473, 515, 519, 535, 549, 593, 606, 616, 639, 696, 697, 734, 752, 753, 815, 827, 911, 938, 994, 1089, 1092, 1098, 1121, 1125, 1182, 1211, 1219, 1281, 1307, 1348, 1409, 1434, 1456, 1488, 1498, 1592, 1789;1102073, 1102074, 1102075, 1102076, 1200019, 1200799, 1202170, 1203170, 1203939, 1205309, 1300006, 1300136, 1301194, 1301629, 1302928, 1303058, 1304107, 1304541, 1400043, 1400684, 1402347, 1403215, 1403853, 1405516, 1406384, 1407022, 1408694, 1409562, 1410200, 1411893, 1500540, 1501957, 1503746, 1505164, 1506209, 1507627, 1507728, 1508697, 1510116, 1510217, 1600006, 1600148, 1601320, 1601326, 1601810, 1700037, 1700682, 1702760, 1703781, 1704428, 1706500, 1707521, 1708168, 1710240, 1711261, 1711908, 1713983, 1800039, 1800657, 1802819, 1803612, 1804229, 1806478, 1900003, 1900142, 1901447, 1901986, 1902443, 1902582, 1903834, 1904373;new
700429055001;import_new;cumple condiciones para articulo nuevo;O-RING;A 55 X 5;0.008 KGM;engine_12V4000M40A.json;1102079;66;12V4000M40A, 12V4000M53, 12V4000M70, 16V4000M61, 16V4000M73, 16V4000M73L, 16V4000M90, 20V4000M93, 20V4000M93L;12, 13, 17, 22, 23, 24, 26, 190, 192, 194, 195, 197, 198, 200, 205, 210, 212, 214, 242, 245, 251, 261, 267, 269, 285, 300, 363, 377, 380, 419, 519, 549, 551, 564, 606, 616, 639, 641, 691, 696, 697, 699, 734, 752, 753, 815, 919, 994, 1036, 1037, 1089, 1092, 1098, 1125, 1211, 1274, 1348, 1374, 1409, 1433, 1434, 1488, 1498, 1789;1102079, 1102080, 1102081, 1102082, 1200024, 1201389, 1202169, 1203175, 1204528, 1205308, 1300013, 1301196, 1301203, 1301630, 1302935, 1304109, 1304116, 1304542, 1400048, 1401552, 1402346, 1403220, 1404721, 1405515, 1406389, 1407899, 1408693, 1409567, 1411077, 1411892, 1501337, 1501956, 1504544, 1505163, 1507007, 1507626, 1509493, 1510115, 1600013, 1601322, 1601330, 1601811, 1700042, 1701939, 1702759, 1703787, 1705679, 1706499, 1707526, 1709419, 1710239, 1711266, 1713164, 1713982, 1800044, 1802818, 1803617, 1806477, 1900010, 1901443, 1901451, 1901987, 1902450, 1903830, 1903838, 1904374;new
735084050000;import_new;cumple condiciones para articulo nuevo;PLUG;50;0.103 KGM;engine_12V4000M40A.json;1102224;18;12V4000M40A, 12V4000M53, 12V4000M70, 16V4000M61, 16V4000M73, 16V4000M90, 20V4000M93, 20V4000M93L;12, 13, 17, 22, 23, 24, 26, 363, 377, 380, 419, 519, 734, 815, 1089, 1125, 1211, 1498;1102224, 1200018, 1203169, 1300004, 1302926, 1400042, 1403214, 1406383, 1409561, 1600004, 1700036, 1703780, 1707520, 1711260, 1800038, 1803611, 1900001, 1902441;new
000912018008;import_new;cumple condiciones para articulo nuevo | PN y designation_final validos, sin conflictos criticos;BOLT HEX SOC HD;M 18 X180;0.395 KGM;engine_12V4000M40A.json;1100655;6;12V4000M40A, 12V4000M70, 16V4000M61, 16V4000M90;13, 14, 18, 25, 364, 520;1100655, 1300027, 1302949, 1600026, 1900024, 1902464;new
5260111501;import_new;cumple condiciones para articulo nuevo | PN y designation_final validos, sin conflictos criticos;CRANKCASE;;;engine_12V4000M40A.json;1101334;3;12V4000M40A, 12V4000M70;14, 25, 364;1101334, 1900027, 1902467;new
