filename;relative_path;absolute_path;extension;size_kb;size_mb;modified_at;possible_type;engine_model;libro;pagina;pos;is_used
12V4000M40A-0012-01-50.webp;esquemas_pos_circulos/12V4000M40A-POS/12V4000M40A-0012-01-50.webp;C:\Users\jordi\source\repos\milu\esquemas_pos_circulos\12V4000M40A-POS\12V4000M40A-0012-01-50.webp;webp;109.41;0.107;2026-02-08T13:33:35.825Z;esquema_pos;12V4000M40A;12V4000M40A;0012-01;50;true
12V4000M40A-0012-01-60.webp;esquemas_pos_circulos/12V4000M40A-POS/12V4000M40A-0012-01-60.webp;C:\Users\jordi\source\repos\milu\esquemas_pos_circulos\12V4000M40A-POS\12V4000M40A-0012-01-60.webp;webp;109.47;0.107;2026-02-08T13:33:35.582Z;esquema_pos;12V4000M40A;12V4000M40A;0012-01;60;true
12V4000M40A-0012-01-70.webp;esquemas_pos_circulos/12V4000M40A-POS/12V4000M40A-0012-01-70.webp;C:\Users\jordi\source\repos\milu\esquemas_pos_circulos\12V4000M40A-POS\12V4000M40A-0012-01-70.webp;webp;109.42;0.107;2026-02-08T13:33:38.813Z;esquema_pos;12V4000M40A;12V4000M40A;0012-01;70;true
12V4000M40A-0012-01-80.webp;esquemas_pos_circulos/12V4000M40A-POS/12V4000M40A-0012-01-80.webp;C:\Users\jordi\source\repos\milu\esquemas_pos_circulos\12V4000M40A-POS\12V4000M40A-0012-01-80.webp;webp;109.48;0.107;2026-02-08T13:33:38.302Z;esquema_pos;12V4000M40A;12V4000M40A;0012-01;80;true
12V4000M40A-0012-01-85.webp;esquemas_pos_circulos/12V4000M40A-POS/12V4000M40A-0012-01-85.webp;C:\Users\jordi\source\repos\milu\esquemas_pos_circulos\12V4000M40A-POS\12V4000M40A-0012-01-85.webp;webp;109.3;0.107;2026-02-08T13:33:36.809Z;esquema_pos;12V4000M40A;12V4000M40A;0012-01;85;true
12V4000M40A-0012-01-105.webp;esquemas_pos_circulos/12V4000M40A-POS/12V4000M40A-0012-01-105.webp;C:\Users\jordi\source\repos\milu\esquemas_pos_circulos\12V4000M40A-POS\12V4000M40A-0012-01-105.webp;webp;109.92;0.107;2026-02-08T13:33:35.334Z;esquema_pos;12V4000M40A;12V4000M40A;0012-01;105;true
12V4000M40A-0012-01-110.webp;esquemas_pos_circulos/12V4000M40A-POS/12V4000M40A-0012-01-110.webp;C:\Users\jordi\source\repos\milu\esquemas_pos_circulos\12V4000M40A-POS\12V4000M40A-0012-01-110.webp;webp;109.77;0.107;2026-02-08T13:33:37.787Z;esquema_pos;12V4000M40A;12V4000M40A;0012-01;110;true
12V4000M40A-0012-01-115.webp;esquemas_pos_circulos/12V4000M40A-POS/12V4000M40A-0012-01-115.webp;C:\Users\jordi\source\repos\milu\esquemas_pos_circulos\12V4000M40A-POS\12V4000M40A-0012-01-115.webp;webp;109.54;0.107;2026-02-08T13:33:38.052Z;esquema_pos;12V4000M40A;12V4000M40A;0012-01;115;true
12V4000M40A-0012-01-120.webp;esquemas_pos_circulos/12V4000M40A-POS/12V4000M40A-0012-01-120.webp;C:\Users\jordi\source\repos\milu\esquemas_pos_circulos\12V4000M40A-POS\12V4000M40A-0012-01-120.webp;webp;109.85;0.107;2026-02-08T13:33:35.084Z;esquema_pos;12V4000M40A;12V4000M40A;0012-01;120;true
12V4000M40A-0012-01-130.webp;esquemas_pos_circulos/12V4000M40A-POS/12V4000M40A-0012-01-130.webp;C:\Users\jordi\source\repos\milu\esquemas_pos_circulos\12V4000M40A-POS\12V4000M40A-0012-01-130.webp;webp;109.92;0.107;2026-02-08T13:33:37.067Z;esquema_pos;12V4000M40A;12V4000M40A;0012-01;130;true
12V4000M40A-0012-01-135.webp;esquemas_pos_circulos/12V4000M40A-POS/12V4000M40A-0012-01-135.webp;C:\Users\jordi\source\repos\milu\esquemas_pos_circulos\12V4000M40A-POS\12V4000M40A-0012-01-135.webp;webp;109.69;0.107;2026-02-08T13:33:37.314Z;esquema_pos;12V4000M40A;12V4000M40A;0012-01;135;true
12V4000M40A-0012-01-140.webp;esquemas_pos_circulos/12V4000M40A-POS/12V4000M40A-0012-01-140.webp;C:\Users\jordi\source\repos\milu\esquemas_pos_circulos\12V4000M40A-POS\12V4000M40A-0012-01-140.webp;webp;109.78;0.107;2026-02-08T13:33:34.839Z;esquema_pos;12V4000M40A;12V4000M40A;0012-01;140;true
12V4000M40A-0012-01-145.webp;esquemas_pos_circulos/12V4000M40A-POS/12V4000M40A-0012-01-145.webp;C:\Users\jordi\source\repos\milu\esquemas_pos_circulos\12V4000M40A-POS\12V4000M40A-0012-01-145.webp;webp;110.81;0.108;2026-02-08T13:33:36.319Z;esquema_pos;12V4000M40A;12V4000M40A;0012-01;145;true
12V4000M40A-0012-01-150.webp;esquemas_pos_circulos/12V4000M40A-POS/12V4000M40A-0012-01-150.webp;C:\Users\jordi\source\repos\milu\esquemas_pos_circulos\12V4000M40A-POS\12V4000M40A-0012-01-150.webp;webp;110.03;0.107;2026-02-08T13:33:37.557Z;esquema_pos;12V4000M40A;12V4000M40A;0012-01;150;true
12V4000M40A-0012-01-160.webp;esquemas_pos_circulos/12V4000M40A-POS/12V4000M40A-0012-01-160.webp;C:\Users\jordi\source\repos\milu\esquemas_pos_circulos\12V4000M40A-POS\12V4000M40A-0012-01-160.webp;webp;109.48;0.107;2026-02-08T13:33:36.569Z;esquema_pos;12V4000M40A;12V4000M40A;0012-01;160;true
12V4000M40A-0012-01-167.webp;esquemas_pos_circulos/12V4000M40A-POS/12V4000M40A-0012-01-167.webp;C:\Users\jordi\source\repos\milu\esquemas_pos_circulos\12V4000M40A-POS\12V4000M40A-0012-01-167.webp;webp;109.47;0.107;2026-02-08T13:33:36.074Z;esquema_pos;12V4000M40A;12V4000M40A;0012-01;167;true
12V4000M40A-0012-01-168.webp;esquemas_pos_circulos/12V4000M40A-POS/12V4000M40A-0012-01-168.webp;C:\Users\jordi\source\repos\milu\esquemas_pos_circulos\12V4000M40A-POS\12V4000M40A-0012-01-168.webp;webp;109.66;0.107;2026-02-08T13:33:38.590Z;esquema_pos;12V4000M40A;12V4000M40A;0012-01;168;true
12V4000M40A-0012-02-175.webp;esquemas_pos_circulos/12V4000M40A-POS/12V4000M40A-0012-02-175.webp;C:\Users\jordi\source\repos\milu\esquemas_pos_circulos\12V4000M40A-POS\12V4000M40A-0012-02-175.webp;webp;59.18;0.058;2026-02-08T13:33:39.119Z;esquema_pos;12V4000M40A;12V4000M40A;0012-02;175;true
12V4000M40A-0014-01-5.webp;esquemas_pos_circulos/12V4000M40A-POS/12V4000M40A-0014-01-5.webp;C:\Users\jordi\source\repos\milu\esquemas_pos_circulos\12V4000M40A-POS\12V4000M40A-0014-01-5.webp;webp;104.18;0.102;2026-02-08T13:33:40.128Z;esquema_pos;12V4000M40A;12V4000M40A;0014-01;5;true
12V4000M40A-0014-01-10.webp;esquemas_pos_circulos/12V4000M40A-POS/12V4000M40A-0014-01-10.webp;C:\Users\jordi\source\repos\milu\esquemas_pos_circulos\12V4000M40A-POS\12V4000M40A-0014-01-10.webp;webp;104.1;0.102;2026-02-08T13:33:41.076Z;esquema_pos;12V4000M40A;12V4000M40A;0014-01;10;true
12V4000M40A-0014-01-15.webp;esquemas_pos_circulos/12V4000M40A-POS/12V4000M40A-0014-01-15.webp;C:\Users\jordi\source\repos\milu\esquemas_pos_circulos\12V4000M40A-POS\12V4000M40A-0014-01-15.webp;webp;104.13;0.102;2026-02-08T13:33:40.599Z;esquema_pos;12V4000M40A;12V4000M40A;0014-01;15;true
12V4000M40A-0014-01-20.webp;esquemas_pos_circulos/12V4000M40A-POS/12V4000M40A-0014-01-20.webp;C:\Users\jordi\source\repos\milu\esquemas_pos_circulos\12V4000M40A-POS\12V4000M40A-0014-01-20.webp;webp;105.29;0.103;2026-02-08T13:33:40.347Z;esquema_pos;12V4000M40A;12V4000M40A;0014-01;20;true
12V4000M40A-0014-01-25.webp;esquemas_pos_circulos/12V4000M40A-POS/12V4000M40A-0014-01-25.webp;C:\Users\jordi\source\repos\milu\esquemas_pos_circulos\12V4000M40A-POS\12V4000M40A-0014-01-25.webp;webp;105.25;0.103;2026-02-08T13:33:40.820Z;esquema_pos;12V4000M40A;12V4000M40A;0014-01;25;true
12V4000M40A-0014-01-30.webp;esquemas_pos_circulos/12V4000M40A-POS/12V4000M40A-0014-01-30.webp;C:\Users\jordi\source\repos\milu\esquemas_pos_circulos\12V4000M40A-POS\12V4000M40A-0014-01-30.webp;webp;104.96;0.103;2026-02-08T13:33:41.302Z;esquema_pos;12V4000M40A;12V4000M40A;0014-01;30;true
