model,engine_id,rebuild_id,block,field,diff_type,engine_value,rebuild_value
12V4000M40A,1100893,RB-12V4000M40A-002519,identity,ID,expected_rebuild_diff,1100893,RB-12V4000M40A-002519
12V4000M40A,1100893,RB-12V4000M40A-002519,identity,rebuild_legacy_engine_id,expected_rebuild_diff,__undefined__,1100893
12V4000M40A,1100893,RB-12V4000M40A-002519,identity,Source Page,formatting_diff,373,373
12V4000M40A,1100893,RB-12V4000M40A-002519,pdf,measure_pdf,expected_rebuild_diff,__undefined__,
12V4000M40A,1100893,RB-12V4000M40A-002519,pdf,norma_pdf,expected_rebuild_diff,__undefined__,
12V4000M40A,1100893,RB-12V4000M40A-002519,pdf,fg_fgs_pdf,expected_rebuild_diff,__undefined__,
12V4000M40A,1100893,RB-12V4000M40A-002519,final,fg_fgs_final,critical_missing,508-00,
12V4000M40A,1100893,RB-12V4000M40A-002519,qa,qa_revision_estado,empty_vs_value,ok,pendiente
12V4000M40A,1100893,RB-12V4000M40A-002519,qa,qa_revision_accion,critical_missing,importar,
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,atributo2,empty_vs_value,Actualizados,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,BOM-No.,empty_vs_value,5105306662,5105306662/S0001
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,categoria,empty_vs_value,12VM40A-508,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,Cause,empty_vs_value,,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,criterio_pn,empty_vs_value,BEST_MATCH,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,Date,empty_vs_value,2022-01-10,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,DD/DTNA,empty_vs_value,,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,Denomination (New Part Number),empty_vs_value,PANEL NOT ADJUSTED,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,Denomination(Cause),empty_vs_value,,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,depuracion_ts,empty_vs_value,2026-04-27T00:11:37Z,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,detalle_cambio,empty_vs_value,5105306662,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,engine,empty_vs_value,4000,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,fg_code,empty_vs_value,508,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,fg_fgs_raw,empty_vs_value,508-00,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,FG/FGS,empty_vs_value,508-00,
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,fgs_code_description,empty_vs_value,508 ACCESSORIES FOR ENGINE GOVERNOR (ELECTRONIC) CONTROL SYSTEM,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,fgs_description,empty_vs_value,ACCESSORIES FOR ENGINE GOVERNOR (ELECTRONIC) CONTROL SYSTEM,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,gesa_error,empty_vs_value,,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,gesa_final,empty_vs_value,NO,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,Hierarchie,empty_vs_value,Superseded,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,hierarchie_final,empty_vs_value,Superseded,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,measure_raw,empty_vs_value,,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,MEASUREMENT / STANDARD,formatting_diff,,
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,model,empty_vs_value,12VM40A,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,MSTAE,empty_vs_value,63,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,MTART,empty_vs_value,YHT,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,MTU,empty_vs_value,x,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,New Part Number,empty_vs_value,5105306662/76,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,new_pn_final,empty_vs_value,5105306662/76,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,norma_raw,empty_vs_value,,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,normalizado_error,empty_vs_value,,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,normalizado_final,empty_vs_value,NO,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,nsn_error,empty_vs_value,,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,nsn_final,empty_vs_value,,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,pn_excel,empty_vs_value,5105306662,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,pn_new,empty_vs_value,5105306662/76,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,pn_raw,empty_vs_value,5105306662,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,pn_recomendado,empty_vs_value,5105306662/76,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,precio,empty_vs_value,0,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,Product Hierarchy,empty_vs_value,Q10,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,qa_revision_confianza,empty_vs_value,0.95,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,qa_revision_fecha,empty_vs_value,2026-05-04T15:33:39.441Z,__undefined__
12V4000M40A,1100893,RB-12V4000M40A-002519,legacy_metadata,qa_revision_motivo,empty_vs_value,PN encontrado en SUST,__undefined__
