model,field,filled_count,empty_count,filled_percent
12V4000M40A,ID,2769,0,100
12V4000M40A,rebuild_legacy_engine_id,2716,53,98.09
12V4000M40A,pn_final,2668,101,96.35
12V4000M40A,pos_final,2726,43,98.45
12V4000M40A,designation_final,2769,0,100
12V4000M40A,pn_pdf,2668,101,96.35
12V4000M40A,pos_pdf,2726,43,98.45
12V4000M40A,designation_pdf,2769,0,100
12V4000M40A,qty_pdf,2769,0,100
12V4000M40A,measure_pdf,1740,1029,62.84
12V4000M40A,norma_pdf,1221,1548,44.1
12V4000M40A,qty_final,2769,0,100
12V4000M40A,measure_final,1740,1029,62.84
12V4000M40A,norma_final,1221,1548,44.1
12V4000M40A,weight_final,2162,607,78.08
12V4000M40A,fn_final,555,2214,20.04
12V4000M40A,fg_fgs_final,1540,1229,55.62
12V4000M40A,bom_final,2769,0,100
12V4000M40A,qa_revision_estado,2769,0,100
12V4000M40A,qa_revision_accion,0,2769,0
12V4000M40A,total_error,2769,0,100
12V4000M40A,has_error,2769,0,100
12V4000M40A,filename_foto,44,2725,1.59
12V4000M40A,ruta_foto,44,2725,1.59
12V4000M40A,esquemas,1920,849,69.34
12V4000M40A,esquemas_circulos,1646,1123,59.44
12V4000M40A,esquemas_circulos_all,1646,1123,59.44
12V4000M40A,ruta_esquemas_pos,1646,1123,59.44
12V4000M40A,exp_imagenes,1654,1115,59.73
12V4000M40A,gesa,2769,0,100
12V4000M40A,designation_gesa,2193,576,79.2
12V4000M40A,nsn,1944,825,70.21
12V4000M40A,norma,1122,1647,40.52
12V4000M40A,normalizado,2769,0,100
12V4000M40A,dimensions_gesa,1510,1259,54.53
12V4000M40A,weight_gesa,2193,576,79.2
12V4000M40A,sust_status,2769,0,100
12V4000M40A,sust_hierarchie,1420,1349,51.28
12V4000M40A,sust_new_part_number,1420,1349,51.28
12V4000M40A,sust_superseded_list,1397,1372,50.45
12V4000M53,ID,6739,0,100
12V4000M53,rebuild_legacy_engine_id,6060,679,89.92
12V4000M53,pn_final,6303,436,93.53
12V4000M53,pos_final,6376,363,94.61
12V4000M53,designation_final,6705,34,99.5
12V4000M53,pn_pdf,6303,436,93.53
12V4000M53,pos_pdf,6376,363,94.61
