model,id,category,pn_final,pos_final,designation_final,source_page,fg_fgs_final,qa_revision_estado,qa_revision_accion
12V4000M40A,1100055,missing_uncategorized,3000 000000001039 BOLT HEX A3C,3000,,332,507-98,ok,importar
12V4000M40A,1100059,missing_uncategorized,5000 000000001076 BOLT A3C,5000,,332,507-98,ok,importar
12V4000M40A,1100067,missing_uncategorized,4450 000000003020 BOLT HEX A3C,4450,,332,507-98,ok,importar
12V4000M40A,1100071,missing_pending_revision,3950 000000003326 HEX SCREW,3950,,332,507-98,ok,copia
12V4000M40A,1100079,missing_uncategorized,7050 000000004390 BOLT A3C,7050,,333,507-98,ok,importar
12V4000M40A,1100080,missing_pending_revision,4800 000000004745 HEX SCREW,4800,,332,507-98,ok,copia
12V4000M40A,1100438,missing_pending_revision,1300 000084005196 SCREW,1300,,331,507-98,ok,copia
12V4000M40A,1100467,missing_pending_revision,1400 000125005322 WASHER,1400,,331,507-98,ok,copia
12V4000M40A,1100481,missing_pending_revision,1000 000125006431 WASHER,1000,,331,507-98,ok,copia
12V4000M40A,1100500,missing_pending_revision,5500 000125008427 WASHER,5500,,332,507-98,ok,copia
12V4000M40A,1100520,missing_pending_revision,3050 000125010524 WASHER,3050,,332,507-98,ok,copia
12V4000M40A,1100723,missing_uncategorized,1500 000933010035 HEX BOLT,1500,,331,507-98,ok,importar
12V4000M40A,1100727,missing_uncategorized,3850 000933010092 BOLT HEX,3850,,332,507-98,ok,importar
12V4000M40A,1100793,missing_pending_revision,1450 000934005004 NUT HEX,1450,,331,507-98,ok,copia
12V4000M40A,1100809,missing_pending_revision,4600 000934006006 NUT HEX,4600,,332,507-98,ok,copia
12V4000M40A,1100824,missing_pending_revision,3250 000934008008 NUT HEX,3250,,332,507-98,ok,copia
12V4000M40A,1100828,missing_pending_revision,6850 000934010005 NUT HEX,6850,,333,507-98,ok,copia
12V4000M40A,1100942,missing_pending_revision,5119950048,145,CLAMP,121,101-01,ok,copia
12V4000M40A,1100943,missing_pending_revision,5119950048,145,CLAMP,127,101-89,ok,copia
12V4000M40A,1101554,missing_pending_revision,1350 007349005002 WASHER,1350,,331,507-98,ok,copia
12V4000M40A,1101563,missing_pending_revision,2750 007349008002 WASHER,2750,,332,507-98,ok,copia
12V4000M40A,1101566,missing_pending_revision,1550 007349010002 WASHER,1550,,331,507-98,ok,copia
12V4000M40A,1101734,missing_pending_revision,1600 009021010201 WASHER,1600,,332,507-98,ok,copia
12V4000M40A,1101779,missing_pending_revision,4550 204017006007 HEX SCREW,4550,,332,507-98,ok,copia
12V4000M40A,1101780,missing_uncategorized,3550 204017008009 BOLT,3550,,332,507-98,ok,importar
12V4000M40A,1101781,missing_uncategorized,6300 204017010021 BOLT A3C,6300,,333,507-98,ok,importar
12V4000M40A,1101828,missing_uncategorized,2400 304017008077 BOLT HEX A3C S2000/4000,2400,,332,507-98,ok,importar
12V4000M40A,1101859,missing_uncategorized,2700 304017008083 BOLT HEX A3C,2700,,332,507-98,ok,importar
