sku;designation_final;measurement_final;weight_final;decision;reason;qa_validated;occurrences;engines;source_ids;source_pages;qa_summary_json;import_decision;import_reason
4 MTU Fried;richshafen Gmb;ge: 192 / 2;4-04;discard;qa_ok_eliminar_found;true;12;12V4000M70;1901184, 1901552, 1901571, 1901626, 1901652, 1901684, 1903626, 1903939, 1903958, 1904013, 1904039, 1904071;178, 227, 228, 236, 239, 240, 517, 564, 565, 573, 576, 577;"{""total_rows"":12,""count_ok_importar"":0,""count_ok_eliminar"":12,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
4 MTU Friedr;ichshafen Gmb;ge: 133;;discard;qa_ok_eliminar_found;true;6;12V4000M70;1901017, 1901033, 1903002, 1903057, 1903459, 1903475;161, 162, 452, 453, 500, 501;"{""total_rows"":6,""count_ok_importar"":0,""count_ok_eliminar"":6,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
4 MTU Friedri;chshafen Gm;Page: 28;4-04;discard;qa_ok_eliminar_found;true;6;12V4000M70;1900131, 1900752, 1901906, 1902571, 1903194, 1904293;39, 126, 259, 378, 465, 596;"{""total_rows"":6,""count_ok_importar"":0,""count_ok_eliminar"":6,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
4 MTU Friedric;hshafen Gmb;Page: 351;4;discard;qa_ok_eliminar_found;true;2;12V4000M70;1900392, 1902832;79, 418;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":2,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
5 5621531140;RETAINER CABLING AND PIPEWO SCREW WASHER NUT HEX;;;discard;qa_ok_eliminar_found;true;1;12V4000M53;1205782;674;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":1,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
5 HP FUEL PUMP 1 PC 60.000 kg EM;;;;discard;qa_ok_eliminar_found;true;1;16V4000M90;1600471;92;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":1,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
10 5242032022;ELBOW 4000 1;;;discard;qa_ok_eliminar_found;true;2;12V4000M70;1902019, 1904406;275, 612;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":2,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
15 5240100266;CONNECTOR THREADED 1;;;discard;qa_ok_eliminar_found;true;2;12V4000M70;1900047, 1902482;29, 367;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":2,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
15 5281700102;VALVE AIR STARTER SCREW-FITTING UNION FOR COMPRESSED AIR 49619 2015-08;;;discard;qa_ok_eliminar_found;true;7;16V4000M73, 20V4000M93;1401429, 1404598, 1407776, 1410954, 1701697, 1705437, 1709177;200, 554, 909, 1264, 218, 614, 1010;"{""total_rows"":7,""count_ok_importar"":0,""count_ok_eliminar"":7,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
25 0175311083;IDENTIFICATION PLATE;GR.6 EMV M25 G;6,000 g;discard;qa_ok_eliminar_found;true;2;12V4000M70;1905139, 1905146;767, 769;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":2,""count_pending"":0,""count_review_action"":0,""count_other"":0}";discard;qa_ok_eliminar_found
