Id;fecha_version;POS;designation;engine;model_type;type;pn;nsn;GESA_NORM;GESA_NORMALIZADO;fg_code;fg_description;fg_code_description;weight;weight_txt;measurement;TIPOARTICULO;PAG;BOM_no;esquema_general;exp_motor;exp_categorias;atributo;SUST_TIPO;new_pn_relacionado;old_pn_relacionados;EN_EXCEL_SUSTITUCION;ruta_foto;exp_imagenes
RB-12V4000M40A-001989;;240;UNION;12V4000M40A;12VM40A;;135M27020/1;;;;233;BASE SKID WITH MOUNTS;233 BASE SKID WITH MOUNTS;0.051 KGM;0.051 KGM;;;301;XS526230.00022;12V4000M40A-0301-01.webp;12V4000M40A;12VM40A-233;;New;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-001705;;185;BRACKET L H:100;12V4000M40A, 12V4000M70, 16V4000M61, 16V4000M90, 20V4000M93L;12VM40A, 12VM70, 16VM61, 16VM90, 20VM93L;;136M52010/1;5340121467169;;;202;;202;0.048 KGM;0.048 KGM;;;221, 231, 252, 257, 589, 733, 1460, 1844;200.00600;12V4000M40A-0256-01.webp, 12V4000M40A-0256-02.webp, 12V4000M40A-0257-01.webp, 12V4000M70-0247-01.webp, 12V4000M70-0247-02.webp, 12V4000M70-0248-01.webp, 12V4000M70-0248-02.webp, 12V4000M70-0249-01.webp, 12V4000M70-0249-02.webp, 12V4000M70-0250-01.webp, 12V4000M70-0250-02.webp, 12V4000M70-0251-01.webp, 12V4000M70-0584-01.webp, 12V4000M70-0584-02.webp, 12V4000M70-0585-01.webp, 12V4000M70-0585-02.webp, 12V4000M70-0586-01.webp, 12V4000M70-0586-02.webp, 12V4000M70-0587-01.webp, 12V4000M70-0587-02.webp, 12V4000M70-0588-01.webp, 16V4000M61-0227-01.webp, 16V4000M61-0227-02.webp, 16V4000M61-0228-01.webp, 16V4000M61-0228-02.webp, 16V4000M61-0229-01.webp, 16V4000M61-0229-02.webp, 16V4000M61-0230-01.webp, 16V4000M61-0230-02.webp, 16V4000M61-0231-01.webp, 16V4000M61-0729-01.webp, 16V4000M61-0729-02.webp, 16V4000M61-0730-01.webp, 16V4000M61-0730-02.webp, 16V4000M61-0731-01.webp, 16V4000M61-0731-02.webp, 16V4000M61-0732-01.webp, 16V4000M61-0732-02.webp, 16V4000M61-0733-01.webp, 16V4000M90-0216-01.webp, 16V4000M90-0216-02.webp, 16V4000M90-0217-01.webp, 16V4000M90-0217-02.webp, 16V4000M90-0218-01.webp, 16V4000M90-0218-02.webp, 16V4000M90-0219-01.webp, 16V4000M90-0219-02.webp, 16V4000M90-0220-01.webp, 20V4000M93L-1456-01.webp, 20V4000M93L-1456-02.webp, 20V4000M93L-1457-01.webp, 20V4000M93L-1840-01.webp, 20V4000M93L-1840-02.webp, 20V4000M93L-1841-01.webp;12V4000M40A, 12V4000M70, 16V4000M61, 16V4000M90, 20V4000M93L;12VM40A-202, 12VM70-200, 16VM61-200, 16VM90-202, 20VM93L-507;;New;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M70-0247-02-780.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M70-0584-02-780.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M61-0227-01-780.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M61-0729-01-780.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M90-0216-01-780.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/20V4000M93L-1457-01-4100.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/20V4000M93L-1841-01-4100.webp
RB-12V4000M53-000732;;360;STRAP 75 X20;12V4000M53;12VM53;;136M55056/1;5340124002863;;;80;"L.P. FUEL SYSTEM; (ALSO GAS ENGINES)";"80 L.P. FUEL SYSTEM; (ALSO GAS ENGINES)";0.06 KGM;0.06 KGM;;;111;XS594080.00041;12V4000M53-0110-01.webp, 12V4000M53-0110-02.webp;12V4000M53;12VM53-80;;New;136M55056/1;135M55009/1;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0110-01-360.webp
RB-12V4000M40A-001744;;695;BRACKET;12V4000M40A, 12V4000M70, 16V4000M61, 16V4000M90;12VM40A, 12VM70, 16VM61, 16VM90;;137M13001/1;;;;202;;202;0.13 KGM;0.13 KGM;;;223, 233, 254, 258, 591, 735;200.00600;12V4000M40A-0256-01.webp, 12V4000M40A-0256-02.webp, 12V4000M40A-0257-01.webp, 12V4000M70-0247-01.webp, 12V4000M70-0247-02.webp, 12V4000M70-0248-01.webp, 12V4000M70-0248-02.webp, 12V4000M70-0249-01.webp, 12V4000M70-0249-02.webp, 12V4000M70-0250-01.webp, 12V4000M70-0250-02.webp, 12V4000M70-0251-01.webp, 12V4000M70-0584-01.webp, 12V4000M70-0584-02.webp, 12V4000M70-0585-01.webp, 12V4000M70-0585-02.webp, 12V4000M70-0586-01.webp, 12V4000M70-0586-02.webp, 12V4000M70-0587-01.webp, 12V4000M70-0587-02.webp, 12V4000M70-0588-01.webp, 16V4000M61-0227-01.webp, 16V4000M61-0227-02.webp, 16V4000M61-0228-01.webp, 16V4000M61-0228-02.webp, 16V4000M61-0229-01.webp, 16V4000M61-0229-02.webp, 16V4000M61-0230-01.webp, 16V4000M61-0230-02.webp, 16V4000M61-0231-01.webp, 16V4000M61-0729-01.webp, 16V4000M61-0729-02.webp, 16V4000M61-0730-01.webp, 16V4000M61-0730-02.webp, 16V4000M61-0731-01.webp, 16V4000M61-0731-02.webp, 16V4000M61-0732-01.webp, 16V4000M61-0732-02.webp, 16V4000M61-0733-01.webp, 16V4000M90-0216-01.webp, 16V4000M90-0216-02.webp, 16V4000M90-0217-01.webp, 16V4000M90-0217-02.webp, 16V4000M90-0218-01.webp, 16V4000M90-0218-02.webp, 16V4000M90-0219-01.webp, 16V4000M90-0219-02.webp, 16V4000M90-0220-01.webp;12V4000M40A, 12V4000M70, 16V4000M61, 16V4000M90;12VM40A-202, 12VM70-200, 16VM61-200, 16VM90-202;;New;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M70-0248-01-4200.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M70-0585-01-4200.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M61-0228-01-4260.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M61-0730-01-4260.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M90-0217-01-4260.webp
RB-12V4000M40A-001463;;1425;HEX SCREW;12V4000M40A, 12V4000M70, 16V4000M61;12VM40A, 12VM70, 16VM61;;000000000359;5305123871447;;;200;;200;0.4 KGM;0.4 KGM;M 16 X280;;220, 231, 240, 577, 722;X00030235;12V4000M40A-0229-01.webp, 12V4000M40A-0229-02.webp, 12V4000M40A-0230-01.webp, 12V4000M70-0238-01.webp, 12V4000M70-0238-02.webp, 12V4000M70-0239-01.webp, 12V4000M70-0575-01.webp, 12V4000M70-0575-02.webp, 12V4000M70-0576-01.webp, 16V4000M61-0218-01.webp, 16V4000M61-0218-02.webp, 16V4000M61-0219-01.webp, 16V4000M61-0720-01.webp, 16V4000M61-0720-02.webp, 16V4000M61-0721-01.webp;12V4000M40A, 12V4000M70, 16V4000M61;12VM40A-200, 12VM70-200, 16VM61-200;;New;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M70-0238-02-1425.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M70-0575-02-1425.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M61-0218-02-1425.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M61-0720-02-1425.webp
RB-12V4000M40A-001268;;70;HEX SCREW;12V4000M40A, 12V4000M70, 20V4000M93L;12VM40A, 12VM70, 20VM93L;;000000000360;5305123991673;;;183;;183;0.27 KGM;0.27 KGM;M 16 X180;;208, 222, 559, 1400, 1780;180.00466;12V4000M40A-0208-01.webp, 12V4000M70-0222-01.webp, 12V4000M70-0559-01.webp, 20V4000M93L-1400-01.webp, 20V4000M93L-1780-01.webp;12V4000M40A, 12V4000M70, 20V4000M93L;12VM40A-183, 12VM70-183, 20VM93L-204;;New;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M70-0222-01-70.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M70-0559-01-70.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/20V4000M93L-1400-01-1150.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/20V4000M93L-1780-01-1150.webp
RB-12V4000M40A-002051;;55;TERMINAL BOX (LXBXH);12V4000M40A;12VM40A;;400X230X111;;;;;;;5,520 KG;5,520 KG;;;319;X00E52800003;12V4000M40A-0319-01.webp;12V4000M40A;;;New;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M53-000506;;50;NUT ADEC;12V4000M53, 12V4000M70, 20V4000M93;12VM53, 12VM70, 20VM93;;000000000403;5310123761085;;;;;;0.018 KGM;0.018 KGM;M 16 X 1,5;;89, 90, 92, 93, 94, 431, 432, 444, 445, 489, 490, 885, 886, 1281, 1282;X52405500124;12V4000M53-0089-01.webp, 12V4000M53-0090-01.webp, 12V4000M53-0444-01.webp, 12V4000M53-0445-01.webp, 12V4000M70-0092-01.webp, 12V4000M70-0093-01.webp, 12V4000M70-0431-01.webp, 12V4000M70-0432-01.webp, 20V4000M93-0093-01.webp, 20V4000M93-0094-01.webp, 20V4000M93-0489-01.webp, 20V4000M93-0490-01.webp, 20V4000M93-0885-01.webp, 20V4000M93-0886-01.webp, 20V4000M93-1281-01.webp, 20V4000M93-1282-01.webp;12V4000M53, 12V4000M70, 20V4000M93;;;New;000000000403;200439016200;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0089-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0090-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0444-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0445-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M70-0092-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M70-0093-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M70-0431-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M70-0432-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/20V4000M93-0093-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/20V4000M93-0094-01-50.webp
RB-16V4000M61-001658;;105;CLAMP CHARGED AIR COOLANT TUBE;16V4000M61, 16V4000M90;16VM61, 16VM90;;524SK0789;4710123870955;;;203;;203;0.506 KGM;0.506 KGM;;;228, 247, 748;200.00606;16V4000M61-0246-01.webp, 16V4000M61-0246-02.webp, 16V4000M61-0747-01.webp, 16V4000M61-0747-02.webp, 16V4000M90-0227-01.webp, 16V4000M90-0227-02.webp;16V4000M61, 16V4000M90;16VM61-203, 16VM90-203;;New;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M61-0246-02-105.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M61-0747-02-105.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M90-0227-02-105.webp
RB-20V4000M93-002914;;1000;SIGHT GLASS;20V4000M93, 20V4000M93L;20VM93, 20VM93L;;535D01022/1;6680121289652;;;;;;0.257 KGM;0.257 KGM;;;318, 714, 1110, 1427, 1506, 1807;X59620800002;20V4000M93-0318-01.webp, 20V4000M93-0714-01.webp, 20V4000M93-1110-01.webp, 20V4000M93-1506-01.webp, 20V4000M93L-1427-01.webp, 20V4000M93L-1807-01.webp;20V4000M93, 20V4000M93L;;;New;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/20V4000M93-0318-01-1000.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/20V4000M93-0714-01-1000.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/20V4000M93-1110-01-1000.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/20V4000M93-1506-01-1000.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/20V4000M93L-1427-01-1000.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/20V4000M93L-1807-01-1000.webp
