sku;designation_final;measurement_final;weight_final;decision;reason;qa_validated;occurrences;engines;source_ids;source_pages;qa_summary_json;import_decision;import_reason
5 5621531140;RETAINER CABLING AND PIPEWO SCREW WASHER NUT HEX;;;pending_review;qa_pending_or_review_found;false;2;12V4000M53;1202622, 1205782;311, 674;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":2,""count_review_action"":2,""count_other"":2}";pending_review;qa_pending_or_review_found
10 5240981407;MANIFOLD INTAKE CHRG AIR O-RING HEX SCREW WASHER THREADED BUSHI COPPER SEALING THREAD PLUG COPPER SEALING THREAD PLUG COPPER SEALING;;;pending_review;qa_pending_or_review_found;false;2;20V4000M93L;1801271, 1804877;1279, 1656;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":2,""count_review_action"":2,""count_other"":2}";pending_review;qa_pending_or_review_found
10 5275305512;PLUG-IN BOARD PLATE SOFTWARE PLATE SOFTWARE;;;pending_review;qa_pending_or_review_found;false;2;16V4000M61;1302328, 1305099;370, 839;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":2,""count_review_action"":2,""count_other"":2}";pending_review;qa_pending_or_review_found
10 5275308412;PLUG-IN BOARD PLATE PLATE;;;pending_review;qa_pending_or_review_found;false;2;16V4000M61;1302308, 1305079;364, 833;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":2,""count_review_action"":2,""count_other"":2}";pending_review;qa_pending_or_review_found
10 C/SHAFT ASM 16V-12CWT-STROKE190 1 PC 583.000 kg EM;;;;pending_review;qa_pending_or_review_found;false;1;16V4000M90;1600235;48;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":1,""count_review_action"":1,""count_other"":1}";pending_review;qa_pending_or_review_found
10 INJECTOR 12 pc 3,500 kg EM;;;;pending_review;qa_pending_or_review_found;false;2;12V4000M53;1200549, 1203690;97, 452;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":2,""count_review_action"":2,""count_other"":2}";pending_review;qa_pending_or_review_found
10 X00E50206571 PLUG-IN BOARD MPU29-05 1 PC 155.000 g MPU29-05;;;;pending_review;qa_pending_or_review_found;false;1;16V4000M90;1602514;338;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":1,""count_review_action"":1,""count_other"":1}";pending_review;qa_pending_or_review_found
10 X00E50206653 HOUSING EMU7-03 1 pc 3,320 kg EMU7-03;;;;pending_review;qa_pending_or_review_found;false;2;12V4000M53;1203105, 1206265;357, 720;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":2,""count_review_action"":2,""count_other"":2}";pending_review;qa_pending_or_review_found
10 X52810100041BEARING HOUSING ZR175 1 pc 16.050 kg;;;;pending_review;qa_pending_or_review_found;false;7;20V4000M93;1700865, 1700935, 1700996, 1701057, 1704641, 1708399, 1712093;140, 147, 150, 153, 536, 932, 1328;"{""total_rows"":7,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":7,""count_review_action"":7,""count_other"":7}";pending_review;qa_pending_or_review_found
10 X59434200185 MARINE GEARBOX ZF5356 1;;;;pending_review;qa_pending_or_review_found;false;2;12V4000M53;1206317, 1206339;734, 744;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":2,""count_review_action"":2,""count_other"":2}";pending_review;qa_pending_or_review_found
