Id;fecha_version;POS;designation;engine;model_type;type;pn;nsn;GESA_NORM;GESA_NORMALIZADO;fg_code;fg_description;fg_code_description;weight;weight_txt;measurement;TIPOARTICULO;PAG;BOM_no;esquema_general;exp_motor;exp_categorias;atributo;SUST_TIPO;new_pn_relacionado;old_pn_relacionados;EN_EXCEL_SUSTITUCION;ruta_foto;exp_imagenes
RB-12V4000M40A-001504;;200;PLUG;12V4000M40A;12VM40A;;000N03038/1;5365123031710;;;200;COOLANT SYSTEM;200 COOLANT SYSTEM;0.047 KGM;0.047 KGM;M 18 X 1,5;;238;XS527200.00049;12V4000M40A-0238-01.webp;12V4000M40A;12VM40A-200;;Superseded;000910018001;0009979530, 000N03038/1;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-20V4000M93-002907;;650;GASKET;20V4000M93;20VM93;;000N03277/1;5330123249531;;;;;;0.017 KGM;0.017 KGM;;;318;X59620800002;20V4000M93-0318-01.webp;20V4000M93;;;Superseded;5612031880;000N03277/1, 0002031680, 8492031320, 635D01079/1;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/20V4000M93-0318-01-650.webp
RB-12V4000M53-001092;;400;O-RING;12V4000M53;12VM53;;000N05113/1;5331123096344;;;;;;0.001 KGM;0.001 KGM;A 25 X 2,5;;151;X59412300090;12V4000M53-0151-01.webp;12V4000M53;;;Superseded;700429025001;0634306024, 0079976045, 000N23101/1, 000N05113/1, 000N05120/1, 0019976540, 0019979340, 11.20087-2037, 700294025001;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0151-01-400.webp
RB-12V4000M53-001092;;400;O-RING;12V4000M53;12VM53;;000N05120/1;5331123096344;;;;;;0.001 KGM;0.001 KGM;A 25 X 2,5;;151;X59412300090;12V4000M53-0151-01.webp;12V4000M53;;;Superseded;700429025001;0634306024, 0079976045, 000N23101/1, 000N05113/1, 000N05120/1, 0019976540, 0019979340, 11.20087-2037, 700294025001;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0151-01-400.webp
RB-12V4000M53-001973;;3420;WASHER A COP;12V4000M53;12VM53;;000N05155/1;5330121564520;;;200;COOLANT SYSTEM;200 COOLANT SYSTEM;0.001 KGM;0.001 KGM;A 12 X 16;;240;XS594200.00156;;12V4000M53;12VM53-200;;Superseded;007603012102;000N05155/1, 0009970344, 11.20087-2025, 06.56190-0703, 06561900703;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-001191;;350;HEX SCREW;12V4000M40A;12VM40A;;000N05224/1;5305121419896;;;183;OIL FILTRATION/COOLING;183 OIL FILTRATION/COOLING;0.031 KGM;0.031 KGM;M 10 X 40;;198;X00021913;12V4000M40A-0198-01.webp;12V4000M40A;12VM40A-183;;Superseded;000933010094;000931010282, 000931010053, 000931010054, 06.01283-1219, 000933010062, 06.01013-1213, 000N05224/1;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-001759;;830;COPPER SEALING RING;12V4000M40A;12VM40A;;000N06100/1;5330121244379;;;202;COOLANT CIRCUIT, GENERAL, HT CIRCUIT;202 COOLANT CIRCUIT, GENERAL, HT CIRCUIT;0.005 KGM;0.005 KGM;A 26 X 34;;258;200.00600;12V4000M40A-0256-01.webp, 12V4000M40A-0256-02.webp, 12V4000M40A-0257-01.webp;12V4000M40A;12VM40A-202;;Superseded;007603026109;06.56190-0727, 000N06100/1, 8691840040, XP52608100007;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-000157;;150;WASHER;12V4000M40A;12VM40A;;000N06194/1;5310121747450;;;;;;0.001 KGM;0.001 KGM;6;;31;X00014074;12V4000M40A-0031-01.webp;12V4000M40A;;;Superseded;000125006431;000125006421, 5620980476, 000125006420, 000N06194/1, 000125006417, 06.15010-0209;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-000045;;45;WASHER;12V4000M40A;12VM40A;;000N06195/1;5310121494353;;;11;CRANKCASE;11 CRANKCASE;0.001 KGM;0.001 KGM;8;;16;XS526010.00022;12V4000M40A-0016-01.webp;12V4000M40A;12VM40A-11;;Superseded;000125008427;000125008423, 000125008418, 5620980576, 000N06195/1, 000N13194/1, 000125008413, 000125008417, 06.15010-0211, 125008427, 00125008427;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-000840;;165;HEX SCREW;12V4000M40A;12VM40A;;000N06197/1;5305121564949;;;124;AIR SUPPLY TO CYLINDERS;124 AIR SUPPLY TO CYLINDERS;0.024 KGM;0.024 KGM;M 8 X 55;;143;120.00227;12V4000M40A-0142-01.webp, 12V4000M40A-0142-02.webp, 12V4000M40A-0143-01.webp;12V4000M40A;12VM40A-124;;Superseded;000931008227;000931008225, 000931008327, 000N06197/1, 000931008091;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-000960;;95;HEX SCREW;12V4000M40A;12VM40A;;000N06198/1;5305123848351;;;144;EXHAUST FLOW CONTROL FLAP WITH CONTROLS;144 EXHAUST FLOW CONTROL FLAP WITH CONTROLS;0.003 KGM;0.003 KGM;M 5 X 16;;160;140.00235;12V4000M40A-0160-01.webp;12V4000M40A;12VM40A-144;;Superseded;304017005025;000933005075, 000N06198/1, 000933005014, 000933005083;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-001133;;40;WASHER A33X39 COP METALLIC;12V4000M40A;12VM40A;;000N06461/1;5330121564803;;;181;LUBE OIL PUMP AND DRIVE;181 LUBE OIL PUMP AND DRIVE;0.003 KGM;0.003 KGM;A 33 X 39;;190;180.00015;12V4000M40A-0190-01.webp;12V4000M40A;12VM40A-181;;Superseded;007603033100;06.56190-0736, 000N06461/1, Z=01 901 02 033, 000000001103;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-16V4000M73-001174;;150;O-RING;16V4000M73;16VM73;;000N13020/1;5331123366068;;;125;AIR ROUTING BETWEEN TURBOCHARGER AND CHARGE-AIR COOLER;125 AIR ROUTING BETWEEN TURBOCHARGER AND CHARGE-AIR COOLER;0.023 KGM;0.023 KGM;A 165 X 5;;175;XS595120.00004;16V4000M73-0175-01.webp;16V4000M73;16VM73-125;;Superseded;700429165000;000N13020/1, 700294165000, 031103;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M73-0175-01-150.webp
RB-16V4000M73-001188;;1000;O-RING;16V4000M73;16VM73;;000N13122/1;5331123366067;;;125;AIR ROUTING BETWEEN TURBOCHARGER AND CHARGE-AIR COOLER;125 AIR ROUTING BETWEEN TURBOCHARGER AND CHARGE-AIR COOLER;0.016 KGM;0.016 KGM;A 170 X 4;;175;XS595120.00004;16V4000M73-0175-01.webp;16V4000M73;16VM73-125;;Superseded;700429170000;000N13122/1, 700294170000;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M73-0175-01-1000.webp
RB-12V4000M40A-000289;;45;O-RING;12V4000M40A;12VM40A;;000N13123/1;5331123118801;;;35;CRANKSHAFT, PTO ON AUX PTO END;35 CRANKSHAFT, PTO ON AUX PTO END;0.016 KGM;0.016 KGM;A 180 X 4;;51;030.00485;12V4000M40A-0051-01.webp;12V4000M40A;12VM40A-35;;Superseded;700429180000;000N13123/1, 700294180000;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-16V4000M73-001695;;30;O-RING;16V4000M73;16VM73;;000N13190/1;5331123075319;;;183;OIL FILTRATION/COOLING;183 OIL FILTRATION/COOLING;0.011 KGM;0.011 KGM;A 120 X 4;;227;180.00189;16V4000M73-0227-01.webp;16V4000M73;16VM73-183;;Superseded;700429120000;8699970334, 000N13190/1, 11.03487-0004, 700294120001;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M73-0227-01-30.webp
RB-12V4000M40A-000045;;45;WASHER;12V4000M40A;12VM40A;;000N13194/1;5310121494353;;;11;CRANKCASE;11 CRANKCASE;0.001 KGM;0.001 KGM;8;;16;XS526010.00022;12V4000M40A-0016-01.webp;12V4000M40A;12VM40A-11;;Superseded;000125008427;000125008423, 000125008418, 5620980576, 000N06195/1, 000N13194/1, 000125008413, 000125008417, 06.15010-0211, 125008427, 00125008427;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
