sku;designation_final;measurement_final;weight_final;decision;reason;qa_validated;occurrences;engines;source_ids;source_pages;qa_summary_json;import_decision;import_reason
135M27020/1;UNION;;0.051 KGM;import;qa_ok_importar_found;true;1;12V4000M40A;1102391;301;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
136M52010/1;BRACKET L H:100;;0.048 KGM;import;qa_ok_importar_found;true;1;12V4000M40A;1102392;257;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
137M13001/1;BRACKET;;0.13 KGM;import;qa_ok_importar_found;true;1;12V4000M40A;1102393;258;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
00000000332;HEX SCREW;;27,400 g;import;qa_ok_importar_found;true;1;12V4000M70;1900545;113;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000000359;HEX SCREW;M 16 X280;0.4 KGM;import;qa_ok_importar_found;true;1;12V4000M40A;1100049;231;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000000360;HEX SCREW;M 16 X180;0.27 KGM;import;qa_ok_importar_found;true;1;12V4000M40A;1100050;208;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
00000000364;SLOT PAN-HEAD SCREW;;;import;qa_ok_importar_found;true;2;16V4000M73L;1502679, 1510906;385, 1582;"{""total_rows"":2,""count_ok_importar"":2,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
524SK0789;CLAMP CHARGED AIR CO OLANT TUBE;;0.506 KGM;import;qa_ok_importar_found;true;1;16V4000M61;1301595;247;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
535D01022/1;SIGHT GLASS;;0.257 KGM;import;qa_ok_importar_found;true;3;20V4000M93;1702917, 1706657, 1710397;318, 714, 1110;"{""total_rows"":3,""count_ok_importar"":3,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
535D01508/1;COOL LEVEL DISPLAY UPPER PART;;0.463 KGM;import;qa_ok_importar_found;true;3;20V4000M93;1702918, 1706658, 1710398;318, 714, 1110;"{""total_rows"":3,""count_ok_importar"":3,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000000611;OVAL-HEAD SCREW;M 3 X 6;0.006 KGM;import;qa_ok_importar_found;true;1;12V4000M40A;1100051;359;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
635A16700/2;VALVE BALL ASM;;0.207 KGM;import;qa_ok_importar_found;true;2;20V4000M93L;1802275, 1805934;1374, 1754;"{""total_rows"":2,""count_ok_importar"":2,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
635D16007/1;THREADED BUSHING;;0.182 KGM;import;qa_ok_importar_found;true;4;16V4000M73L;1501797, 1505004, 1507467, 1509955;252, 738, 1083, 1419;"{""total_rows"":4,""count_ok_importar"":4,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000000897;HEX SCREW;M 10 X 40;29.800 g M 10 X 40 ISO4017;import;qa_ok_importar_found;true;1;16V4000M73;1400041;26;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000000904;HEX SCREW;M 12 X 80;75,000 g M 12 X 80 ISO4017;import;qa_ok_importar_found;true;1;12V4000M53;1200291;48;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000000905;HEX SCREW;M 12 X 40;0.044 KGM;import;qa_ok_importar_found;true;1;16V4000M73;1402481;294;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000000906;HEX SCREW;M 10 X 80;49,400 g M 10 X 80 ISO4017;import;qa_ok_importar_found;true;1;12V4000M53;1201243;170;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000001039;HEX SCREW;M 10 X 40;0.03 KGM;import;qa_ok_importar_found;true;1;12V4000M40A;1100054;257;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000001041;HEX SCREW;M 10 X140;0.091 KGM;import;qa_ok_importar_found;true;1;12V4000M53;1201133;158;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000001042;HEX SCREW;M 10 X 50;0.035 KGM;import;qa_ok_importar_found;true;1;12V4000M40A;1100058;105;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000001076;HEX SCREW;M 10 X 70;0.045 KGM;import;qa_ok_importar_found;true;1;12V4000M40A;1100059;332;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000001077;HEX SCREW;M 12 X110;104,600 g M 12 X110 ISO4014;import;qa_ok_importar_found;true;1;12V4000M53;1201767;228;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000001078;HEX SCREW;M 12 X 60;58,200 g M 12 X 60 ISO4017;import;qa_ok_importar_found;true;1;12V4000M53;1202359;287;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000001393;COUNTERSUNK HD SCREW;M 4 X 8;0.001 KGM;import;qa_ok_importar_found;true;1;12V4000M53;1206680;827;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000001444;HEX SCREW;M 6 X 20;0.006 KGM;import;qa_ok_importar_found;true;1;12V4000M40A;1100060;31;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000001464;HEX SCREW;M 10 X 30;0.025 KGM;import;qa_ok_importar_found;true;1;12V4000M40A;1100061;98;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
