sku;designation_final;measurement_final;weight_final;decision;reason;qa_validated;occurrences;engines;source_ids;source_pages;qa_summary_json;import_decision;import_reason
10 5240981407;MANIFOLD INTAKE CHRG AIR O-RING HEX SCREW WASHER THREADED BUSHI COPPER SEALING THREAD PLUG COPPER SEALING THREAD PLUG COPPER SEALING;;;pending_review;qa_pending_or_review_found;false;2;20V4000M93L;1801271, 1804877;1279, 1656;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":2,""count_review_action"":2,""count_other"":2}";pending_review;qa_pending_or_review_found
10 5275305512;PLUG-IN BOARD PLATE SOFTWARE PLATE SOFTWARE;;;pending_review;qa_pending_or_review_found;false;2;16V4000M61;1302328, 1305099;370, 839;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":2,""count_review_action"":2,""count_other"":2}";pending_review;qa_pending_or_review_found
10 5275308412;PLUG-IN BOARD PLATE PLATE;;;pending_review;qa_pending_or_review_found;false;2;16V4000M61;1302308, 1305079;364, 833;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":2,""count_review_action"":2,""count_other"":2}";pending_review;qa_pending_or_review_found
10 INJECTOR 12 pc 3,500 kg EM;;;;pending_review;qa_pending_or_review_found;false;1;12V4000M53;1203690;452;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":1,""count_review_action"":1,""count_other"":1}";pending_review;qa_pending_or_review_found
14 MTU Frie;drichshafen Gm;e: 207 / 2;4-04;pending_review;qa_pending_or_review_found;false;7;12V4000M70;1901480, 1901730, 1901784, 1903867, 1904117, 1904171, 1905341;214, 251, 252, 551, 588, 589, 799;"{""total_rows"":7,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":7,""count_review_action"":7,""count_other"":7}";pending_review;qa_pending_or_review_found
15 5240336101;CRANKSHAFT BEARING SIZE 2-3 Busine;;;pending_review;qa_pending_or_review_found;false;4;16V4000M73;1400390, 1403557, 1406726, 1409904;64, 418, 772, 1127;"{""total_rows"":4,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":4,""count_review_action"":4,""count_other"":4}";pending_review;qa_pending_or_review_found
25 INJECTOR 16 pc 3.600 kg EM;;;;pending_review;qa_pending_or_review_found;false;4;16V4000M73;1400566, 1403733, 1406904, 1410082;103, 457, 811, 1166;"{""total_rows"":4,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":4,""count_review_action"":4,""count_other"":4}";pending_review;qa_pending_or_review_found
25 INJECTOR 20 pc 3.600 kg EM;;;;pending_review;qa_pending_or_review_found;false;2;20V4000M93L;1800526, 1804097;1200, 1573;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":2,""count_review_action"":2,""count_other"":2}";pending_review;qa_pending_or_review_found
60 5282000258;BRACKET WASHER HEX SCREW CLAMP HALF TU GROMMET HEX SCREW VENT LINE CLAMP HALF TU GROMMET VENT LINE CLAMP HALF TU GROMMET WASHER HEX SCREW VENT LINE CLAMP HALF TU GROMMET HEX SCREW;;53.000 g;pending_review;qa_pending_or_review_found;false;6;20V4000M93, 20V4000M93L;1702499, 1706239, 1709979, 1713723, 1802551, 1806210;285, 681, 1077, 1473, 1394, 1774;"{""total_rows"":6,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":6,""count_review_action"":6,""count_other"":6}";pending_review;qa_pending_or_review_found
90 0035337089;IDENTIFICATION PLAT E;47X135MM, BED 47X25MM;1,400 g;pending_review;qa_pending_or_review_found;false;2;12V4000M53;1206473, 1206608;783, 815;"{""total_rows"":2,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":2,""count_review_action"":2,""count_other"":2}";pending_review;qa_pending_or_review_found
