sku;designation_final;measurement_final;weight_final;decision;reason;qa_validated;occurrences;engines;source_ids;source_pages;qa_summary_json;import_decision;import_reason
135M55009/1;STRAP 75 X20;;0.06 KGM;import;qa_ok_importar_found;true;1;12V4000M53;1200710;111;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
635H22706/2;SWITCH;;;import;qa_ok_importar_found;true;1;12V4000M40A;1102423;346;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000002970;HEX SCREW;M 12 X 70;64,700 g M 12 X 70 ISO4017;import;qa_ok_importar_found;true;1;12V4000M53;1201765;228;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000003326;HEX SCREW;M 10 X 35;0.027 KGM;import;qa_ok_importar_found;true;1;12V4000M40A;1100070;104;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000000004744;HEX NUT;M 12;14,300 g M 12 ISO4032;import;qa_ok_importar_found;true;1;12V4000M53;1200972;138;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
41458;LEAD SEAL;;1 KG;import;qa_ok_importar_found;true;1;12V4000M40A;1100083;404;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
50667;GREASE;1 TIN = 1 KG;1.116 KGM;import;qa_ok_importar_found;true;1;12V4000M40A;1100086;154;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
0000100070;MANIFOLD;;1.347 KGM;import;qa_ok_importar_found;true;1;12V4000M40A;1100088;29;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
0000352500;DAMPER;;;import;qa_ok_importar_found;true;1;12V4000M40A;1100095;51;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
0000787949;VALVE FLOW RESTRICTOR;;408,600 G;import;qa_ok_importar_found;true;1;12V4000M40A;1100099;92;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
