libro,id,campo,valor_original,valor_corregido
12V4000M40A,?,pn_pdf,5110250202 ZR175/60,5110250202
12V4000M40A,?,pn_pdf,5110250202 ZR175/60,5110250202
12V4000M40A,?,pn_pdf,5260900104 12/16V4000,5260900104
12V4000M40A,?,pn_pdf,5249970635 40X50X5.5,5249970635
12V4000M40A,?,pn_pdf,8592030250 B9-30-10,8592030250
12V4000M40A,?,pn_pdf,5295306812/S0003 MPU27-01,5295306812/S0003
12V4000M40A,?,pn_final,5295306812/S0003 MPU27-01,5295306812/S0003
12V4000M40A,?,pn_pdf,5105330880 220X56X1,5105330880
12V4000M40A,?,pn_final,5105330880 220X56X1,5105330880
12V4000M40A,?,pn_pdf,5105302438/S0001 3X400VAC,5105302438/S0001
12V4000M40A,?,pn_final,5105302438/S0001 3X400VAC,5105302438/S0001
12V4000M40A,?,pn_pdf,X00024645 360X380X210,X00024645
12V4000M40A,?,pn_final,X00024645 360X380X210,X00024645
12V4000M40A,?,pn_pdf,X00E50200899 152X152X128,X00E50200899
12V4000M40A,?,pn_final,X00E50200899 152X152X128,X00E50200899
12V4000M40A,?,pn_pdf,X00E50202754/S0003 360X314X95,X00E50202754/S0003
12V4000M40A,?,pn_final,X00E50202754/S0003 360X314X95,X00E50202754/S0003
12V4000M40A,?,pn_pdf,5275307654 455X277X91,5275307654
12V4000M40A,?,pn_final,5275307654 455X277X91,5275307654
12V4000M40A,?,pn_pdf,5275334402 423X270X76,5275334402
12V4000M40A,?,pn_final,5275334402 423X270X76,5275334402
12V4000M40A,?,pn_pdf,5275351291 427X275X11,5275351291
12V4000M40A,?,pn_final,5275351291 427X275X11,5275351291
12V4000M53,?,pn_pdf,X52603100002 12V4000-03,X52603100002
12V4000M53,?,pn_final,X52603100002 12V4000-03,X52603100002
12V4000M53,?,pn_pdf,5260900104 12/16V4000,5260900104
12V4000M53,?,pn_pdf,5242031452 M52-1.5X15,5242031452
12V4000M53,?,pn_final,5242031452 M52-1.5X15,5242031452
12V4000M53,?,pn_pdf,0035337689 23X13/55MM,0035337689
12V4000M53,?,pn_final,0035337689 23X13/55MM,0035337689
12V4000M53,?,pn_pdf,X00010488 DIN72585,X00010488
12V4000M53,?,pn_final,X00010488 DIN72585,X00010488
12V4000M53,?,pn_pdf,0011596139 52/13/MIT,0011596139
12V4000M53,?,pn_final,0011596139 52/13/MIT,0011596139
12V4000M53,?,pn_pdf,0011596139 52/13/MIT,0011596139
12V4000M53,?,pn_final,0011596139 52/13/MIT,0011596139
12V4000M53,?,pn_pdf,X00E50204759 102X103X3,X00E50204759
12V4000M53,?,pn_final,X00E50204759 102X103X3,X00E50204759
12V4000M53,?,pn_pdf,X00E50204758 102X103X3,X00E50204758
12V4000M53,?,pn_final,X00E50204758 102X103X3,X00E50204758
12V4000M53,?,pn_pdf,X52603100002 12V4000-03,X52603100002
12V4000M53,?,pn_final,X52603100002 12V4000-03,X52603100002
12V4000M53,?,pn_pdf,5260900104 12/16V4000,5260900104
12V4000M53,?,pn_pdf,5242031452 M52-1.5X15,5242031452
12V4000M53,?,pn_final,5242031452 M52-1.5X15,5242031452
12V4000M53,?,pn_pdf,0035337689 23X13/55MM,0035337689
12V4000M53,?,pn_final,0035337689 23X13/55MM,0035337689
12V4000M53,?,pn_pdf,X00010488 DIN72585,X00010488
12V4000M53,?,pn_final,X00010488 DIN72585,X00010488
12V4000M53,?,pn_pdf,0011596139 52/13/MIT,0011596139
12V4000M53,?,pn_final,0011596139 52/13/MIT,0011596139
12V4000M53,?,pn_pdf,0011596139 52/13/MIT,0011596139
12V4000M53,?,pn_final,0011596139 52/13/MIT,0011596139
12V4000M53,?,pn_pdf,X00E50204759 102X103X3,X00E50204759
12V4000M53,?,pn_final,X00E50204759 102X103X3,X00E50204759
12V4000M53,?,pn_pdf,X00E50204758 102X103X3,X00E50204758
12V4000M53,?,pn_final,X00E50204758 102X103X3,X00E50204758
12V4000M53,?,pn_pdf,X59541200002 FC-001-040,X59541200002
12V4000M53,?,pn_final,X59541200002 FC-001-040,X59541200002
12V4000M53,?,pn_pdf,X00E50205800 3X440VAC/50HZ,X00E50205800
12V4000M53,?,pn_final,X00E50205800 3X440VAC/50HZ,X00E50205800
12V4000M53,?,pn_pdf,X00E50205802 3X440VAC/50HZ,X00E50205802
12V4000M53,?,pn_final,X00E50205802 3X440VAC/50HZ,X00E50205802
12V4000M53,?,pn_pdf,0011596139 52/13/MIT,0011596139
12V4000M53,?,pn_final,0011596139 52/13/MIT,0011596139
12V4000M70,?,pn_pdf,5110804420 158/20/135/69CM,5110804420
12V4000M70,?,pn_final,5110804420 158/20/135/69CM,5110804420
12V4000M70,?,pn_pdf,5110250002 ZR170/60,5110250002
12V4000M70,?,pn_final,5110250002 ZR170/60,5110250002
12V4000M70,?,pn_pdf,5110804420 158/20/135/69CM,5110804420
12V4000M70,?,pn_final,5110804420 158/20/135/69CM,5110804420
12V4000M70,?,pn_pdf,5110250002 ZR170/60,5110250002
12V4000M70,?,pn_final,5110250002 ZR170/60,5110250002
12V4000M70,?,pn_pdf,5260900104 12/16V4000,5260900104
12V4000M70,?,pn_pdf,5249970635 40X50X5.5,5249970635
12V4000M70,?,pn_pdf,X00E50206616 455X277X91,X00E50206616
12V4000M70,?,pn_final,X00E50206616 455X277X91,X00E50206616
12V4000M70,?,pn_pdf,5275334402 423X270X76,5275334402
12V4000M70,?,pn_final,5275334402 423X270X76,5275334402
12V4000M70,?,pn_pdf,5275351291 427X275X11,5275351291
12V4000M70,?,pn_final,5275351291 427X275X11,5275351291
12V4000M70,?,pn_pdf,5110804420 158/20/135/69CM,5110804420
12V4000M70,?,pn_final,5110804420 158/20/135/69CM,5110804420
12V4000M70,?,pn_pdf,5110250002 ZR170/60,5110250002
12V4000M70,?,pn_final,5110250002 ZR170/60,5110250002
12V4000M70,?,pn_pdf,5110804420 158/20/135/69CM,5110804420
12V4000M70,?,pn_final,5110804420 158/20/135/69CM,5110804420
12V4000M70,?,pn_pdf,5110250002 ZR170/60,5110250002
12V4000M70,?,pn_final,5110250002 ZR170/60,5110250002
12V4000M70,?,pn_pdf,5260900104 12/16V4000,5260900104
12V4000M70,?,pn_pdf,5249970635 40X50X5.5,5249970635
12V4000M70,?,pn_pdf,X00E50206616 455X277X91,X00E50206616
12V4000M70,?,pn_final,X00E50206616 455X277X91,X00E50206616
12V4000M70,?,pn_pdf,5275334402 423X270X76,5275334402
12V4000M70,?,pn_final,5275334402 423X270X76,5275334402
12V4000M70,?,pn_pdf,5275351291 427X275X11,5275351291
12V4000M70,?,pn_final,5275351291 427X275X11,5275351291
12V4000M70,?,pn_pdf,X00032735 230X200X110,X00032735
12V4000M70,?,pn_final,X00032735 230X200X110,X00032735
12V4000M70,?,pn_pdf,X00E50200885 3X440VAC,X00E50200885
12V4000M70,?,pn_final,X00E50200885 3X440VAC,X00E50200885
12V4000M70,?,pn_pdf,X00E50206571/S0001 MPU29-05,X00E50206571/S0001
12V4000M70,?,pn_final,X00E50206571/S0001 MPU29-05,X00E50206571/S0001
12V4000M70,?,pn_pdf,X00015431 345X220X199,X00015431
12V4000M70,?,pn_final,X00015431 345X220X199,X00015431
12V4000M70,?,pn_pdf,X00E50200486 M25X1.5-M16X1.5,X00E50200486
12V4000M70,?,pn_final,X00E50200486 M25X1.5-M16X1.5,X00E50200486
12V4000M70,?,pn_pdf,X00E50206571/S0001 MPU29-05,X00E50206571/S0001
12V4000M70,?,pn_final,X00E50206571/S0001 MPU29-05,X00E50206571/S0001
12V4000M70,?,pn_pdf,0015334741 M4-187X14,0015334741
16V4000M61,?,pn_pdf,5249970635 40X50X5.5,5249970635
16V4000M61,?,pn_pdf,XP58320300006 200/440V,XP58320300006
16V4000M61,?,pn_final,XP58320300006 200/440V,XP58320300006
16V4000M61,?,pn_pdf,8592030250 B9-30-10,8592030250
16V4000M61,?,pn_pdf,8692030520 0.37-0.55,8692030520
16V4000M61,?,pn_final,8692030520 0.37-0.55,8692030520
16V4000M61,?,pn_pdf,X00E50206571/S0001 MPU29-05,X00E50206571/S0001
16V4000M61,?,pn_final,X00E50206571/S0001 MPU29-05,X00E50206571/S0001
16V4000M61,?,pn_pdf,X00E50205162 360X270X160,X00E50205162
16V4000M61,?,pn_final,X00E50205162 360X270X160,X00E50205162
16V4000M61,?,pn_pdf,X00E50205163 360X270X160,X00E50205163
16V4000M61,?,pn_final,X00E50205163 360X270X160,X00E50205163
16V4000M61,?,pn_pdf,5295306812/S0003 MPU27-01,5295306812/S0003
16V4000M61,?,pn_final,5295306812/S0003 MPU27-01,5295306812/S0003
16V4000M61,?,pn_pdf,X00E50206616 455X277X91,X00E50206616
16V4000M61,?,pn_final,X00E50206616 455X277X91,X00E50206616
16V4000M61,?,pn_pdf,5275334402 423X270X76,5275334402
16V4000M61,?,pn_final,5275334402 423X270X76,5275334402
16V4000M61,?,pn_pdf,5275351291 427X275X11,5275351291
16V4000M61,?,pn_final,5275351291 427X275X11,5275351291
16V4000M61,?,pn_pdf,X00032735 230X200X110,X00032735
16V4000M61,?,pn_final,X00032735 230X200X110,X00032735
16V4000M61,?,pn_pdf,X00E50205154 345X220X199/RAL,X00E50205154
16V4000M61,?,pn_final,X00E50205154 345X220X199/RAL,X00E50205154
16V4000M61,?,pn_pdf,X00E50205155 345X220X190/RAL,X00E50205155
16V4000M61,?,pn_final,X00E50205155 345X220X190/RAL,X00E50205155
16V4000M61,?,pn_pdf,X00E50202753/S0003 296X152X80,X00E50202753/S0003
16V4000M61,?,pn_final,X00E50202753/S0003 296X152X80,X00E50202753/S0003
16V4000M61,?,pn_pdf,X00E50205156 250X270X184/RAL,X00E50205156
16V4000M61,?,pn_final,X00E50205156 250X270X184/RAL,X00E50205156
16V4000M61,?,pn_pdf,X00E50205157 250X270X184/RAL9003,X00E50205157
16V4000M61,?,pn_final,X00E50205157 250X270X184/RAL9003,X00E50205157
16V4000M61,?,pn_pdf,X00E50206571/S0001 MPU29-05,X00E50206571/S0001
16V4000M61,?,pn_final,X00E50206571/S0001 MPU29-05,X00E50206571/S0001
16V4000M61,?,pn_pdf,X00E50205158 3X400VAC/50HZ/2A/RAL9003,X00E50205158
16V4000M61,?,pn_final,X00E50205158 3X400VAC/50HZ/2A/RAL9003,X00E50205158
16V4000M61,?,pn_pdf,X00E50205159 3X400VAC/50HZ,X00E50205159
16V4000M61,?,pn_final,X00E50205159 3X400VAC/50HZ,X00E50205159
16V4000M61,?,pn_pdf,X00E50202753/S0002 296X152X80,X00E50202753/S0002
16V4000M61,?,pn_final,X00E50202753/S0002 296X152X80,X00E50202753/S0002
16V4000M61,?,pn_pdf,X00E50205151 360X210X160/RAL,X00E50205151
16V4000M61,?,pn_final,X00E50205151 360X210X160/RAL,X00E50205151
16V4000M61,?,pn_pdf,X00E50206571/S0001 MPU29-05,X00E50206571/S0001
16V4000M61,?,pn_final,X00E50206571/S0001 MPU29-05,X00E50206571/S0001
16V4000M61,?,pn_pdf,X00E50200486 M25X1.5-M16X1.5,X00E50200486
16V4000M61,?,pn_final,X00E50200486 M25X1.5-M16X1.5,X00E50200486
16V4000M61,?,pn_pdf,X00E50200486 M25X1.5-M16X1.5,X00E50200486
16V4000M61,?,pn_final,X00E50200486 M25X1.5-M16X1.5,X00E50200486
16V4000M61,?,pn_pdf,X53566400082/31/97,X53566400082/31/97
16V4000M61,?,pn_final,X53566400082/31/97,X53566400082/31/97
16V4000M61,?,pn_pdf,X53166400008/31/97,X53166400008/31/97
16V4000M61,?,pn_final,X53166400008/31/97,X53166400008/31/97
16V4000M61,?,pn_pdf,5249970635 40X50X5.5,5249970635
