post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,meta:_global_unique_id,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:pos_product_visibility,attribute:pa_actualizados,attribute_data:pa_actualizados,attribute:pa_tipo-de-componente,attribute_data:pa_tipo-de-componente
"LABELS AND AUXILIARY MATERIALS",labels-and-auxiliary-materials,,215633,"004 LABELS AND AUXILIARY MATERIALS","004 LABELS AND AUXILIARY MATERIALS",Publicada,,0,"2026-06-17 16:42:24",263701013,closed,12VM50A-4,,,no,no,,,,,,,,,,instock,no,no,,no,none,,,,,,'-1,'-1,,,"https://milu-naval.com/wp-content/uploads/2026/06/sin_imagen-1.jpeg ! alt :  ! title : sin_imagen ! desc :  ! caption : ",,https://milu-naval.com/producto/labels-and-auxiliary-materials/,0,,subconjunto,simple,,12V4000M50A,subconjunto,,,,,,
CRANKCASE,crankcase,,215635,"011 CRANKCASE","011 CRANKCASE",Publicada,,0,"2026-06-17 16:42:24",263701013,closed,12VM50A-11,,,no,no,,,,,,,,,,instock,no,no,,no,none,,,,,,'-1,'-1,,,"https://milu-naval.com/wp-content/uploads/2026/03/010.00475-1.webp ! alt :  ! title : 010.00475 ! desc :  ! caption : ",,https://milu-naval.com/producto/crankcase/,0,,subconjunto,simple,,12V4000M50A,subconjunto,,,,,,
"OIL PAN",oil-pan,,215636,"014 OIL PAN","014 OIL PAN",Publicada,,0,"2026-06-17 16:42:24",263701013,closed,12VM50A-14,,,no,no,,,,,,,,,,instock,no,no,,no,none,,,,,,'-1,'-1,,,"https://milu-naval.com/wp-content/uploads/2026/03/010.00061-1.webp ! alt :  ! title : 010.00061 ! desc :  ! caption : ",,https://milu-naval.com/producto/oil-pan/,0,,subconjunto,simple,,12V4000M50A,subconjunto,,,,,,
"ENGINE MOUNTING",engine-mounting,,215637,"015 ENGINE MOUNTING","015 ENGINE MOUNTING",Publicada,,0,"2026-06-17 16:42:24",263701013,closed,12VM50A-15,,,no,no,,,,,,,,,,instock,no,no,,no,none,,,,,,'-1,'-1,,,"https://milu-naval.com/wp-content/uploads/2026/03/010.00131-1.png ! alt :  ! title : 010.00131 ! desc :  ! caption : ",,https://milu-naval.com/producto/engine-mounting/,0,,subconjunto,simple,,12V4000M50A,subconjunto,,,,,,
"CRANKCASE BREATHER",crankcase-breather,,215638,"018 CRANKCASE BREATHER","018 CRANKCASE BREATHER",Publicada,,0,"2026-06-17 16:42:24",263701013,closed,12VM50A-18,,,no,no,,,,,,,,,,instock,no,no,,no,none,,,,,,'-1,'-1,,,"https://milu-naval.com/wp-content/uploads/2026/03/010.00367-1.webp ! alt :  ! title : 010.00367 ! desc :  ! caption : ",,https://milu-naval.com/producto/crankcase-breather/,0,,subconjunto,simple,,12V4000M50A,subconjunto,,,,,,
"GEARCASE, DRIVING END",gearcase-driving-end,,215639,"021 GEARCASE, DRIVING END","021 GEARCASE, DRIVING END",Publicada,,0,"2026-06-17 16:42:24",263701013,closed,12VM50A-21,,,no,no,,,,,,,,,,instock,no,no,,no,none,,,,,,'-1,'-1,,,"https://milu-naval.com/wp-content/uploads/2026/06/sin_imagen-1.jpeg ! alt :  ! title : sin_imagen ! desc :  ! caption : ",,https://milu-naval.com/producto/gearcase-driving-end/,0,,subconjunto,simple,,12V4000M50A,subconjunto,,,,,,
"GEARCASE, AUX PTO END",gearcase-aux-pto-end,,215640,"024 GEARCASE, AUX PTO END","024 GEARCASE, AUX PTO END",Publicada,,0,"2026-06-17 16:42:24",263701013,closed,12VM50A-24,,,no,no,,,,,,,,,,instock,no,no,,no,none,,,,,,'-1,'-1,,,"https://milu-naval.com/wp-content/uploads/2026/03/020.00111-1.webp ! alt :  ! title : 020.00111 ! desc :  ! caption : ",,https://milu-naval.com/producto/gearcase-aux-pto-end/,0,,subconjunto,simple,,12V4000M50A,subconjunto,,,,,,
"BELT DRIVE",belt-drive,,215641,"028 BELT DRIVE","028 BELT DRIVE",Publicada,,0,"2026-06-17 16:42:24",263701013,closed,12VM50A-28,,,no,no,,,,,,,,,,instock,no,no,,no,none,,,,,,'-1,'-1,,,"https://milu-naval.com/wp-content/uploads/2026/06/sin_imagen-1.jpeg ! alt :  ! title : sin_imagen ! desc :  ! caption : ",,https://milu-naval.com/producto/belt-drive/,0,,subconjunto,simple,,12V4000M50A,subconjunto,,,,,,
"CRANKSHAFT WITH BEARINGS",crankshaft-with-bearings,,215642,"031 CRANKSHAFT WITH BEARINGS","031 CRANKSHAFT WITH BEARINGS",Publicada,,0,"2026-06-17 16:42:24",263701013,closed,12VM50A-31,,,no,no,,,,,,,,,,instock,no,no,,no,none,,,,,,'-1,'-1,,,"https://milu-naval.com/wp-content/uploads/2026/03/030.00073-1.webp ! alt :  ! title : 030.00073 ! desc :  ! caption : ",,https://milu-naval.com/producto/crankshaft-with-bearings/,0,,subconjunto,simple,,12V4000M50A,subconjunto,,,,,,
"CRANKSHAFT, PTO ON DRIVING END",crankshaft-pto-on-driving-end,,215643,"032 CRANKSHAFT, PTO ON DRIVING END","032 CRANKSHAFT, PTO ON DRIVING END",Publicada,,0,"2026-06-17 16:42:24",263701013,closed,12VM50A-32,,,no,no,,,,,,,,,,instock,no,no,,no,none,,,,,,'-1,'-1,,,"https://milu-naval.com/wp-content/uploads/2026/03/030.00047-1.webp ! alt :  ! title : 030.00047 ! desc :  ! caption : ",,https://milu-naval.com/producto/crankshaft-pto-on-driving-end/,0,,subconjunto,simple,,12V4000M50A,subconjunto,,,,,,
