Id;change_type;column;old_value;new_value
RB-12V4000M40A-000823;deleted_record;;;
RB-12V4000M40A-001208;deleted_record;;;
RB-12V4000M53-002945;deleted_record;;;
RB-12V4000M70-005577;deleted_record;;;
RB-16V4000M61-001615;deleted_record;;;
RB-16V4000M73-000031;deleted_record;;;
RB-16V4000M73-000058;deleted_record;;;
RB-16V4000M73-000350;deleted_record;;;
RB-16V4000M73L-001493;deleted_record;;;
RB-16V4000M90-000019;deleted_record;;;
RB-16V4000M90-000020;deleted_record;;;
RB-20V4000M93-000024;deleted_record;;;
RB-20V4000M93L-002081;deleted_record;;;
RB-12V4000M40A-000715;changed_field;designation;COMPRESSOR WHEEL GRAD;COMPRESSOR WHEEL
RB-12V4000M40A-001681;changed_field;designation;CONTACTOR 220V 50HZ;CONTACTOR
RB-12V4000M40A-002043;changed_field;designation;PLUG-IN BOARD MIT URLADER;PLUG-IN BOARD
RB-12V4000M40A-002353;changed_field;designation;GASKET FOR DISPLAY PANEL / PAN;GASKET FOR DISPLAY PANEL
RB-12V4000M40A-002602;changed_field;designation;JUNCTION BOX / 50HZ / 2A;JUNCTION BOX
RB-12V4000M40A-002608;changed_field;designation;HOUSING RAL9010;HOUSING
RB-12V4000M40A-002684;changed_field;designation;AUDIBLE ALARM FOR MONITORING (BXLXH);AUDIBLE ALARM FOR MONITORING
RB-12V4000M40A-002688;changed_field;designation;HOUSING WITH INTERLOCK (LXBXH);HOUSING WITH INTERLOCK
RB-12V4000M40A-002703;changed_field;designation;GOVERNOR (LXBXH);GOVERNOR
RB-12V4000M40A-002704;changed_field;designation;HOUSING F/MONTRG SYST + GOV (LXBXH);HOUSING F/MONTRG SYST + GOV
RB-12V4000M53-000333;changed_field;designation;CRANKSHAFT LH;CRANKSHAFT
RB-12V4000M53-001472;changed_field;designation;RESTRICTOR W/26MM OPENING;RESTRICTOR
RB-12V4000M53-002739;changed_field;designation;IDENTIFICATION PLATE GELB, 40;IDENTIFICATION PLATE
RB-12V4000M53-002830;changed_field;designation;TEMPERATURE SENSOR 2-POL. CODE;TEMPERATURE SENSOR
RB-12V4000M53-003094;changed_field;designation;COVER PLATE -X51-POWER;COVER PLATE
RB-12V4000M53-003095;changed_field;designation;COVER PLATE -X52-STARTER;COVER PLATE
RB-12V4000M53-006309;changed_field;designation;FILTER ELEMENT - 70806164;FILTER ELEMENT
RB-12V4000M53-006352;changed_field;designation;CONTROL UNIT FOR OIL PRIMING PUM / RAL 9006;CONTROL UNIT FOR OIL PRIMING PUM
RB-12V4000M53-006353;changed_field;designation;CONTROL UNIT FOR OIL PRIMING PUM / RAL9006;CONTROL UNIT FOR OIL PRIMING PUM
RB-12V4000M70-000772;changed_field;designation;TURBINE WHEEL HOCH 2;TURBINE WHEEL
RB-12V4000M70-000797;changed_field;designation;COMPRESSOR WHEEL GRAD;COMPRESSOR WHEEL
RB-12V4000M70-002512;changed_field;designation;GOVERNOR (LXBXH);GOVERNOR
RB-12V4000M70-005076;changed_field;designation;TERMINAL BOX (BXLXH)/RAL;TERMINAL BOX
RB-12V4000M70-005108;changed_field;designation;CONTROL UNIT FOR OIL PRIMING PUM / 60HZ / 2A;CONTROL UNIT FOR OIL PRIMING PUM
RB-12V4000M70-005159;changed_field;designation;PLUG-IN BOARD MIT URLADER;PLUG-IN BOARD
RB-12V4000M70-005192;changed_field;designation;MONITORING SYSTEM IN ENGINE ROOM (LXBXH);MONITORING SYSTEM IN ENGINE ROOM
RB-12V4000M70-005459;changed_field;designation;INSTALLATION MATRL IP68 M.DICHTUNG;INSTALLATION MATRL
RB-16V4000M61-001627;changed_field;designation;OVERCURRENT TRIP A;OVERCURRENT TRIP
RB-16V4000M61-001982;changed_field;designation;CONTROL UNIT F/EXH FLAP CONTROL / RAL 9003 GLATT;CONTROL UNIT F/EXH FLAP CONTROL
RB-16V4000M61-001983;changed_field;designation;HOUSING FOR CONTROL UNIT RAL 9003 GLATT;HOUSING FOR CONTROL UNIT
