Id;fecha_version;POS;designation;engine;model_type;type;pn;nsn;GESA_NORM;GESA_NORMALIZADO;fg_code;fg_description;fg_code_description;weight;weight_txt;measurement;TIPOARTICULO;PAG;BOM_no;esquema_general;exp_motor;exp_categorias;atributo;SUST_TIPO;new_pn_relacionado;old_pn_relacionados;old_number_01;old_ruta_01;old_number_02;old_ruta_02;old_number_03;old_ruta_03;old_number_04;old_ruta_04;old_number_05;old_ruta_05;old_number_06;old_ruta_06;old_number_07;old_ruta_07;old_number_08;old_ruta_08;old_number_09;old_ruta_09;old_number_10;old_ruta_10;old_number_11;old_ruta_11;old_number_12;old_ruta_12;old_number_13;old_ruta_13;old_number_14;old_ruta_14;old_number_15;old_ruta_15;old_number_16;old_ruta_16;old_number_17;old_ruta_17;old_number_18;old_ruta_18;EN_EXCEL_SUSTITUCION;ruta_foto;exp_imagenes
RB-20V4000M93-000024;20260607.2104;60;CRANKCASE k;4000;20VM93, 20VM93L;;2547.000;;;NO;011-05;CRANKCASE;11 CRANKCASE;;;;piezas;20V4000M93-0023, 20V4000M93-0419, 20V4000M93-0815, 20V4000M93-1211, 20V4000M93L-1125, 20V4000M93L-1498;XS596010.00013;20V4000M93-0023-01.webp, 20V4000M93-0419-01.webp, 20V4000M93-0815-01.webp, 20V4000M93-1211-01.webp, 20V4000M93L-1125-01.webp, 20V4000M93L-1498-01.webp;20V4000M93, 20V4000M93L;20VM93-11, 20VM93L-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/20V4000M93-POS/20V4000M93-0023-01-60.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/20V4000M93-POS/20V4000M93-0419-01-60.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/20V4000M93-POS/20V4000M93-0815-01-60.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/20V4000M93-POS/20V4000M93-1211-01-60.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/20V4000M93L-POS/20V4000M93L-1125-01-60.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/20V4000M93L-POS/20V4000M93L-1498-01-60.webp
RB-12V4000M53-002945;20260607.2104;540;SHRINKABLE HOSE KLEBER;4000;12VM53, 16VM73, 16VM73L, 20VM93L;;0011596139 52/13/MIT;;;NO;507-98;WIRING, GENERAL, FOR ENGINE/GEARBOX/PLANT;507 WIRING, GENERAL, FOR ENGINE/GEARBOX/PLANT;130,000 g;130,000 g;;piezas;12V4000M53-0345, 12V4000M53-0348, 12V4000M53-0708, 12V4000M53-0711, 12V4000M53-0797, 16V4000M73-0323, 16V4000M73-0677, 16V4000M73-1032, 16V4000M73-1386, 16V4000M73L-0400, 16V4000M73L-0403, 16V4000M73L-0407, 16V4000M73L-0427, 16V4000M73L-0429, 16V4000M73L-0431, 16V4000M73L-1597, 16V4000M73L-1600, 16V4000M73L-1604, 16V4000M73L-1624, 16V4000M73L-1626, 16V4000M73L-1628, 20V4000M93L-1470, 20V4000M93L-1472, 20V4000M93L-1476, 20V4000M93L-1854, 20V4000M93L-1856, 20V4000M93L-1860;X00E50700444;12V4000M53-0344-01.webp, 12V4000M53-0344-02.webp, 12V4000M53-0346-01.webp, 12V4000M53-0346-02.webp, 12V4000M53-0707-01.webp, 12V4000M53-0707-02.webp, 12V4000M53-0709-01.webp, 12V4000M53-0709-02.webp, 16V4000M73L-0403-01.webp, 16V4000M73L-0407-01.webp, 16V4000M73L-0427-01.webp, 16V4000M73L-0429-01.webp, 16V4000M73L-0431-01.webp, 16V4000M73L-1600-01.webp, 16V4000M73L-1604-01.webp, 16V4000M73L-1624-01.webp, 16V4000M73L-1626-01.webp, 16V4000M73L-1628-01.webp, 20V4000M93L-1468-01.webp, 20V4000M93L-1468-02.webp, 20V4000M93L-1471-01.webp, 20V4000M93L-1471-02.webp, 20V4000M93L-1474-01.webp, 20V4000M93L-1474-02.webp, 20V4000M93L-1852-01.webp, 20V4000M93L-1852-02.webp, 20V4000M93L-1855-01.webp, 20V4000M93L-1855-02.webp, 20V4000M93L-1858-01.webp, 20V4000M93L-1858-02.webp;12V4000M53, 16V4000M73, 16V4000M73L, 20V4000M93L;12VM53-507, 12VM53-511, 16VM73-507, 16VM73L-511, 20VM93L-507;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M53-POS/12V4000M53-0344-02-540.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M53-POS/12V4000M53-0707-02-540.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73L-POS/16V4000M73L-0403-01-1070.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73L-POS/16V4000M73L-0407-01-1070.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73L-POS/16V4000M73L-0427-01-90.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73L-POS/16V4000M73L-0429-01-90.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73L-POS/16V4000M73L-0431-01-90.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73L-POS/16V4000M73L-1600-01-1070.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73L-POS/16V4000M73L-1604-01-1070.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73L-POS/16V4000M73L-1624-01-90.webp
RB-12V4000M70-005577;20260607.2104;115;SPACER PA6;4000;12VM70;;0015334741 M4-187X14;;;NO;517-10;;517-10;3,000 g;3,000 g;INNEN (2X) M4, L=14;piezas;12V4000M70-0799;X00E50203604;12V4000M70-0799-01.webp;12V4000M70;12VM70-517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0799-01-115.webp
RB-20V4000M93L-002081;20260607.2104;160;RESTRICTOR W/12MM OPENING;4000;20VM93L;;5242031852 M64-2.0X15;;;NO;183-15;;183-15;322.000 g;322.000 g;;piezas;20V4000M93L-1355, 20V4000M93L-1735;XS596180.00018;20V4000M93L-1355-01.webp, 20V4000M93L-1735-01.webp;20V4000M93L;20VM93L-183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/20V4000M93L-POS/20V4000M93L-1355-01-160.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/20V4000M93L-POS/20V4000M93L-1735-01-160.webp
RB-12V4000M40A-001208;20260607.2104;90;PLUG WITH M6 THD;4000;12VM40A, 12VM70, 16VM61;;5249970635 40X50X5.5;;;NO;183-05;OIL FILTRATION/COOLING;183 OIL FILTRATION/COOLING;479 G;479 G;;piezas;12V4000M40A-0200, 12V4000M70-0214, 12V4000M70-0551, 16V4000M61-0197, 16V4000M61-0699;5241800911;12V4000M40A-0199-01.webp, 12V4000M40A-0199-02.webp, 12V4000M70-0213-01.webp, 12V4000M70-0213-02.webp, 12V4000M70-0550-01.webp, 12V4000M70-0550-02.webp, 16V4000M61-0196-01.webp, 16V4000M61-0196-02.webp, 16V4000M61-0698-01.webp, 16V4000M61-0698-02.webp;12V4000M40A, 12V4000M70, 16V4000M61;12VM40A-183, 12VM70-183, 16VM61-183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0199-01-90.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0213-01-90.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0550-01-90.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M61-POS/16V4000M61-0196-01-90.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M61-POS/16V4000M61-0698-01-90.webp
RB-12V4000M40A-000823;20260607.2104;50;SILENCER AIR INTAKE MAR.;4000;12VM40A, 12VM53, 12VM70, 16VM73, 20VM93, 20VM93L;;5260900104 12/16V4000;;;NO;122-05;AIR INTAKE SILENCER;122 AIR INTAKE SILENCER;2,600 KG;2,600 KG;;piezas;12V4000M40A-0140, 12V4000M53-0143, 12V4000M53-0498, 12V4000M70-0149, 12V4000M70-0488, 16V4000M73-0157, 16V4000M73-0511, 16V4000M73-0865, 16V4000M73-1220, 20V4000M93-0164, 20V4000M93-0560, 20V4000M93-0956, 20V4000M93-1352, 20V4000M93L-1262, 20V4000M93L-1639;X00010987;12V4000M40A-0140-01.webp, 12V4000M53-0143-01.webp, 12V4000M53-0498-01.webp, 12V4000M70-0149-01.webp, 12V4000M70-0488-01.webp, 16V4000M73-0157-01.webp, 16V4000M73-0511-01.webp, 16V4000M73-0865-01.webp, 16V4000M73-1220-01.webp, 20V4000M93-0164-01.webp, 20V4000M93-0560-01.webp, 20V4000M93-0956-01.webp, 20V4000M93-1352-01.webp, 20V4000M93L-1262-01.webp, 20V4000M93L-1639-01.webp;12V4000M40A, 12V4000M53, 12V4000M70, 16V4000M73, 20V4000M93, 20V4000M93L;12VM40A-122, 12VM53-122, 12VM70-122, 16VM73-122, 20VM93-122, 20VM93L-122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M40A-POS/12V4000M40A-0140-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M53-POS/12V4000M53-0143-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M53-POS/12V4000M53-0498-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0149-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/12V4000M70-POS/12V4000M70-0488-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73-POS/16V4000M73-0157-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73-POS/16V4000M73-0511-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73-POS/16V4000M73-0865-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73-POS/16V4000M73-1220-01-50.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/20V4000M93-POS/20V4000M93-0164-01-50.webp
RB-16V4000M73L-001493;20260607.2104;530;FILTERING SCREEN 200#M;4000;16VM73L, 20VM93L;;8691840034 WN281-65/90;;;NO;183-07;OIL FILTRATION/COOLING;183 OIL FILTRATION/COOLING;191,500 G;191,500 G;;piezas;16V4000M73L-0219, 16V4000M73L-0705, 16V4000M73L-1050, 16V4000M73L-1387, 20V4000M93L-1349, 20V4000M93L-1729;X52718300010;16V4000M73L-0218-01.webp, 16V4000M73L-0218-02.webp, 16V4000M73L-0704-01.webp, 16V4000M73L-0704-02.webp, 16V4000M73L-1049-01.webp, 16V4000M73L-1049-02.webp, 16V4000M73L-1386-01.webp, 16V4000M73L-1386-02.webp, 20V4000M93L-1347-01.webp, 20V4000M93L-1347-02.webp, 20V4000M93L-1727-01.webp, 20V4000M93L-1727-02.webp;16V4000M73L, 20V4000M93L;16VM73L-183, 20VM93L-183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73L-POS/16V4000M73L-0218-01-530.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73L-POS/16V4000M73L-0704-01-530.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73L-POS/16V4000M73L-1049-01-530.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73L-POS/16V4000M73L-1386-01-530.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/20V4000M93L-POS/20V4000M93L-1347-01-720.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/20V4000M93L-POS/20V4000M93L-1727-01-720.webp
RB-16V4000M90-000020;20260607.2104;168;CRANKCASE k;4000;16VM90;;E5270101805 2076.000;;;NO;011-05;CRANKCASE;11 CRANKCASE;;;;piezas;16V4000M90-0017;010.00476;16V4000M90-0016-01.webp, 16V4000M90-0016-02.webp;16V4000M90;16VM90-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M90-POS/16V4000M90-0016-01-168.webp
RB-16V4000M90-000019;20260607.2104;167;CRANKCASE k;4000;16VM90;;R5270101805 2063.000;;;NO;011-05;CRANKCASE;11 CRANKCASE;;;;piezas;16V4000M90-0017;010.00476;16V4000M90-0016-01.webp, 16V4000M90-0016-02.webp;16V4000M90;16VM90-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M90-POS/16V4000M90-0016-01-167.webp
RB-16V4000M73-000350;20260607.2104;10;CRANKSHAFT NH;4000;16VM73;;X00029038 16V4000-03;;;NO;030-00;RUNNING GEAR;30 RUNNING GEAR;403.000 kg;403.000 kg;;piezas;16V4000M73-0062, 16V4000M73-0416, 16V4000M73-0770, 16V4000M73-1125;X00029037;16V4000M73-0062-01.webp, 16V4000M73-0416-01.webp, 16V4000M73-0770-01.webp, 16V4000M73-1125-01.webp;16V4000M73;16VM73-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73-POS/16V4000M73-0062-01-10.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73-POS/16V4000M73-0416-01-10.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73-POS/16V4000M73-0770-01-10.webp, https://milu-naval.mystagingwebsite.com/wp-content/uploads/16V4000M73-POS/16V4000M73-1125-01-10.webp
