engine_file,id,source_page,pos,pos_final,pn,pn_final,esquemas,ruta_esquemas_pos,esquemas_circulos,esquemas_circulos_all
engine_12V4000M40A.json,RB-12V4000M40A-000046,16,,,000931008075,000931008075,12V4000M40A-0016-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-000052,18,25,25,8800180770,8800180770,12V4000M40A-0018-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-000054,18,40,40,700429012002,700429012002,12V4000M40A-0018-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-000055,18,50,50,5240111380,5240111380,12V4000M40A-0018-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-000056,18,55,55,000933010035,000933010035,12V4000M40A-0018-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-000060,20,50,50,5240140253,5240140253,12V4000M40A-0020-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-000061,20,55,55,000931010105,000931010105,12V4000M40A-0020-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-000245,46,155,155,5240336602,5240336602,12V4000M40A-0045-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-000247,46,170,170,5240336702,5240336702,12V4000M40A-0045-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-000375,72,50,50,000933010194,000933010194,12V4000M40A-0072-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-000487,97,60,60,900112999010,900112999010,12V4000M40A-0097-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-000605,105,2475,2475,304017008090,304017008090,"12V4000M40A-0102-01.webp, 12V4000M40A-0102-02.webp, 12V4000M40A-0103-01.webp, 12V4000M40A-0103-02.webp, 12V4000M40A-0104-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-000616,105,2975,2975,735028016001,735028016001,"12V4000M40A-0102-01.webp, 12V4000M40A-0102-02.webp, 12V4000M40A-0103-01.webp, 12V4000M40A-0103-02.webp, 12V4000M40A-0104-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-000624,106,3425,3425,X00035884,X00035884,"12V4000M40A-0102-01.webp, 12V4000M40A-0102-02.webp, 12V4000M40A-0103-01.webp, 12V4000M40A-0103-02.webp, 12V4000M40A-0104-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-000679,120,700,700,5110200183,5110200183,"12V4000M40A-0119-01.webp, 12V4000M40A-0119-02.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-000680,121,5,5,X00013214,X00013214,12V4000M40A-0121-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-000688,121,50,50,5119940041,5119940041,12V4000M40A-0121-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-000689,121,55,55,5110250052,5110250052,12V4000M40A-0121-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-000700,121,115,115,700425000049,700425000049,12V4000M40A-0121-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-000702,121,130,130,001476003017,001476003017,12V4000M40A-0121-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-000897,154,74,74,50667,50667,12V4000M40A-0154-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-000921,157,24,24,50667,50667,12V4000M40A-0157-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001025,172,400,400,Z=5125 065,Z=5125 065,"12V4000M40A-0170-01.webp, 12V4000M40A-0170-02.webp, 12V4000M40A-0171-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-001030,172,450,450,Z=1251 001,Z=1251 001,"12V4000M40A-0170-01.webp, 12V4000M40A-0170-02.webp, 12V4000M40A-0171-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-001086,177,70,70,,,12V4000M40A-0177-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001087,177,80,80,XP53517300045,XP53517300045,12V4000M40A-0177-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001088,177,90,90,XP53517300046,XP53517300046,12V4000M40A-0177-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001090,177,110,110,XP53517300048,XP53517300048,12V4000M40A-0177-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001091,177,120,120,,,12V4000M40A-0177-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001108,179,,,718363232002,718363232002,12V4000M40A-0179-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001217,200,140,140,5361840156,5361840156,"12V4000M40A-0199-01.webp, 12V4000M40A-0199-02.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-001218,200,145,145,002098001022,002098001022,"12V4000M40A-0199-01.webp, 12V4000M40A-0199-02.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-001265,208,50,50,0001881546,0001881546,12V4000M40A-0208-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001266,208,55,55,5241800247,5241800247,12V4000M40A-0208-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001290,213,115,115,5241801640,5241801640,12V4000M40A-0213-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001291,213,125,125,000933008168,000933008168,12V4000M40A-0213-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001292,213,130,130,735151008100,735151008100,12V4000M40A-0213-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001295,213,145,145,304017008085,304017008085,12V4000M40A-0213-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001296,213,150,150,304017008083,304017008083,12V4000M40A-0213-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001458,231,1275,1275,000908045005,000908045005,"12V4000M40A-0229-01.webp, 12V4000M40A-0229-02.webp, 12V4000M40A-0230-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-001459,231,1300,1300,007603045101,007603045101,"12V4000M40A-0229-01.webp, 12V4000M40A-0229-02.webp, 12V4000M40A-0230-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-001461,231,1375,1375,5242031553,5242031553,"12V4000M40A-0229-01.webp, 12V4000M40A-0229-02.webp, 12V4000M40A-0230-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-001462,231,1400,1400,200933016010,200933016010,"12V4000M40A-0229-01.webp, 12V4000M40A-0229-02.webp, 12V4000M40A-0230-01.webp",,,
engine_12V4000M40A.json,RB-12V4000M40A-001476,232,5,5,8499970065,8499970065,12V4000M40A-0232-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001489,238,30,30,2017555865007019,2017555865007019,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001490,238,50,50,X52720200061,X52720200061,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001491,238,60,60,007603040102,007603040102,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001492,238,70,70,700419999033,700419999033,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001493,238,72,72,915001040001,915001040001,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001494,238,74,74,700131045001,700131045001,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001495,238,100,100,700325055100,700325055100,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001496,238,110,110,700325055200,700325055200,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001497,238,120,120,700327042000,700327042000,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001498,238,130,130,304017008081,304017008081,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001499,238,140,140,304017008087,304017008087,12V4000M40A-0238-01.webp,,,
engine_12V4000M40A.json,RB-12V4000M40A-001500,238,150,150,000934008008,000934008008,12V4000M40A-0238-01.webp,,,
