pdf,page,box,pos,source,conf,out_image
12V4000M40A_clean_marcos_mod.pdf,45,1,20,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,35,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,45,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,55,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,65,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,75,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,85,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,95,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,25,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,40,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,50,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,60,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,70,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,80,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,90,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,105,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,115,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,125,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,135,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,100,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,110,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,120,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,130,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,140,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,265,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,255,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,245,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,235,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,225,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,215,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,205,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,195,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,185,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,175,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,165,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,150,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,270,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,260,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,250,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,240,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,230,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,220,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,210,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,200,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,190,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,180,TEXT,,12V4000M40A-0045-01-allpos.png
12V4000M40A_clean_marcos_mod.pdf,45,1,170155,TEXT,,12V4000M40A-0045-01-allpos.png
